asin,day,rank,reviews_total
B0DEMO0002,0,1834,2
B0DEMO0002,1,2003,3
B0DEMO0002,2,1873,5
B0DEMO0002,3,1813,7
B0DEMO0002,4,1414,10
B0DEMO0002,5,2007,11
B0DEMO0002,6,1917,12
B0DEMO0002,7,1851,14
B0DEMO0002,8,1872,15
B0DEMO0002,9,1954,16
B0DEMO0002,10,2128,18
B0DEMO0002,11,1703,20
B0DEMO0002,12,1916,22
B0DEMO0002,13,1709,23
B0DEMO0002,14,1946,24
B0DEMO0002,15,2020,26
B0DEMO0002,16,1712,27
B0DEMO0002,17,1579,29
B0DEMO0002,18,1956,30
B0DEMO0002,19,1712,32
B0DEMO0002,20,1985,34
B0DEMO0002,21,1711,37
B0DEMO0002,22,1624,39
B0DEMO0002,23,1867,40
B0DEMO0002,24,1720,42
B0DEMO0002,25,1610,43
B0DEMO0002,26,1667,44
B0DEMO0002,27,1644,46
B0DEMO0002,28,1493,48
B0DEMO0002,29,1536,50
B0DEMO0002,30,1403,52
B0DEMO0002,31,1419,54
B0DEMO0002,32,1566,56
B0DEMO0002,33,1670,58
B0DEMO0002,34,1468,60
B0DEMO0002,35,1603,63
B0DEMO0002,36,1640,64
B0DEMO0002,37,1306,66
B0DEMO0002,38,1509,68
B0DEMO0002,39,1453,70
B0DEMO0002,40,1368,72
B0DEMO0002,41,1360,75
B0DEMO0002,42,1353,77
B0DEMO0002,43,1174,80
B0DEMO0002,44,1284,82
B0DEMO0002,45,1457,84
B0DEMO0002,46,1163,85
B0DEMO0002,47,1209,87
B0DEMO0002,48,1264,89
B0DEMO0002,49,1209,93
B0DEMO0002,50,1352,94
B0DEMO0002,51,1043,97
B0DEMO0002,52,998,100
B0DEMO0002,53,1090,102
B0DEMO0002,54,1078,105
B0DEMO0002,55,1080,108
B0DEMO0002,56,1141,110
B0DEMO0002,57,1126,113
B0DEMO0002,58,1184,115
B0DEMO0002,59,955,118
B0DEMO0002,60,1143,122
B0DEMO0002,61,885,124
B0DEMO0002,62,1009,127
B0DEMO0002,63,1038,129
B0DEMO0002,64,1078,133
B0DEMO0002,65,1033,136
B0DEMO0002,66,995,138
B0DEMO0002,67,874,140
B0DEMO0002,68,879,145
B0DEMO0002,69,868,148
B0DEMO0002,70,1020,152
B0DEMO0002,71,813,156
B0DEMO0002,72,991,160
B0DEMO0002,73,827,164
B0DEMO0002,74,844,169
B0DEMO0002,75,812,174
B0DEMO0002,76,805,178
B0DEMO0002,77,744,183
B0DEMO0002,78,898,186
B0DEMO0002,79,732,191
B0DEMO0002,80,845,195
B0DEMO0002,81,678,201
B0DEMO0002,82,737,205
B0DEMO0002,83,849,209
B0DEMO0002,84,827,212
B0DEMO0002,85,797,215
B0DEMO0002,86,737,219
B0DEMO0002,87,672,225
B0DEMO0002,88,720,229
B0DEMO0002,89,633,234
B0DEMO0002,90,647,238
B0DEMO0002,91,768,241
B0DEMO0002,92,666,244
B0DEMO0002,93,669,248
B0DEMO0002,94,667,252
B0DEMO0002,95,689,256
B0DEMO0002,96,733,259
B0DEMO0002,97,540,264
B0DEMO0002,98,614,269
B0DEMO0002,99,696,274
B0DEMO0002,100,514,278
B0DEMO0002,101,699,282
B0DEMO0002,102,505,288
B0DEMO0002,103,577,293
B0DEMO0002,104,702,296
B0DEMO0002,105,685,300
B0DEMO0002,106,646,307
B0DEMO0002,107,707,311
B0DEMO0002,108,583,317
B0DEMO0002,109,605,323
B0DEMO0002,110,515,330
B0DEMO0002,111,608,335
B0DEMO0002,112,551,338
B0DEMO0002,113,634,342
B0DEMO0002,114,528,349
B0DEMO0002,115,567,356
B0DEMO0002,116,539,364
B0DEMO0002,117,553,369
B0DEMO0002,118,568,375
B0DEMO0002,119,566,381
B0DEMO0003,0,1577,1
B0DEMO0003,1,1864,3
B0DEMO0003,2,1792,5
B0DEMO0003,3,1524,7
B0DEMO0003,4,1895,9
B0DEMO0003,5,1475,11
B0DEMO0003,6,1888,12
B0DEMO0003,7,1685,13
B0DEMO0003,8,1858,15
B0DEMO0003,9,1595,17
B0DEMO0003,10,1655,19
B0DEMO0003,11,1629,22
B0DEMO0003,12,1442,24
B0DEMO0003,13,1776,25
B0DEMO0003,14,1689,27
B0DEMO0003,15,1730,29
B0DEMO0003,16,1558,31
B0DEMO0003,17,1742,33
B0DEMO0003,18,1467,35
B0DEMO0003,19,1824,37
B0DEMO0003,20,1518,40
B0DEMO0003,21,1890,41
B0DEMO0003,22,1350,43
B0DEMO0003,23,1642,45
B0DEMO0003,24,1328,47
B0DEMO0003,25,1535,49
B0DEMO0003,26,1786,50
B0DEMO0003,27,1562,51
B0DEMO0003,28,1456,53
B0DEMO0003,29,1476,56
B0DEMO0003,30,1448,58
B0DEMO0003,31,1391,60
B0DEMO0003,32,1466,62
B0DEMO0003,33,1381,63
B0DEMO0003,34,1430,65
B0DEMO0003,35,1210,67
B0DEMO0003,36,1321,69
B0DEMO0003,37,1418,72
B0DEMO0003,38,1479,74
B0DEMO0003,39,1432,77
B0DEMO0003,40,1170,78
B0DEMO0003,41,1242,80
B0DEMO0003,42,1121,83
B0DEMO0003,43,1290,85
B0DEMO0003,44,1328,88
B0DEMO0003,45,1123,90
B0DEMO0003,46,1148,93
B0DEMO0003,47,1070,97
B0DEMO0003,48,1062,98
B0DEMO0003,49,1200,100
B0DEMO0003,50,1178,103
B0DEMO0003,51,1008,106
B0DEMO0003,52,1109,109
B0DEMO0003,53,980,112
B0DEMO0003,54,1058,116
B0DEMO0003,55,973,118
B0DEMO0003,56,860,123
B0DEMO0003,57,885,126
B0DEMO0003,58,951,129
B0DEMO0003,59,1053,132
B0DEMO0003,60,881,136
B0DEMO0003,61,1012,137
B0DEMO0003,62,932,142
B0DEMO0003,63,764,145
B0DEMO0003,64,842,149
B0DEMO0003,65,839,153
B0DEMO0003,66,743,156
B0DEMO0003,67,801,159
B0DEMO0003,68,898,161
B0DEMO0003,69,836,165
B0DEMO0003,70,852,167
B0DEMO0003,71,777,171
B0DEMO0003,72,698,176
B0DEMO0003,73,753,180
B0DEMO0003,74,662,183
B0DEMO0003,75,827,186
B0DEMO0003,76,685,189
B0DEMO0003,77,714,195
B0DEMO0003,78,727,197
B0DEMO0003,79,749,201
B0DEMO0003,80,634,204
B0DEMO0003,81,610,211
B0DEMO0003,82,743,215
B0DEMO0003,83,608,221
B0DEMO0003,84,554,225
B0DEMO0003,85,654,228
B0DEMO0003,86,589,232
B0DEMO0003,87,594,236
B0DEMO0003,88,613,240
B0DEMO0003,89,726,243
B0DEMO0003,90,586,246
B0DEMO0003,91,641,252
B0DEMO0003,92,582,257
B0DEMO0003,93,519,265
B0DEMO0003,94,549,272
B0DEMO0003,95,529,277
B0DEMO0003,96,520,283
B0DEMO0003,97,554,288
B0DEMO0003,98,508,293
B0DEMO0003,99,546,298
B0DEMO0003,100,536,303
B0DEMO0003,101,569,308
B0DEMO0003,102,462,315
B0DEMO0003,103,478,324
B0DEMO0003,104,476,331
B0DEMO0003,105,501,338
B0DEMO0003,106,526,341
B0DEMO0003,107,541,345
B0DEMO0003,108,467,353
B0DEMO0003,109,536,360
B0DEMO0003,110,507,366
B0DEMO0003,111,550,370
B0DEMO0003,112,490,377
B0DEMO0003,113,458,385
B0DEMO0003,114,531,391
B0DEMO0003,115,499,399
B0DEMO0003,116,471,403
B0DEMO0003,117,511,409
B0DEMO0003,118,475,415
B0DEMO0003,119,462,421
B0DEMO0004,0,1908,1
B0DEMO0004,1,2109,2
B0DEMO0004,2,1841,4
B0DEMO0004,3,1726,6
B0DEMO0004,4,1864,8
B0DEMO0004,5,2196,10
B0DEMO0004,6,1876,11
B0DEMO0004,7,2357,12
B0DEMO0004,8,2022,13
B0DEMO0004,9,1761,15
B0DEMO0004,10,1796,16
B0DEMO0004,11,1944,18
B0DEMO0004,12,1721,20
B0DEMO0004,13,2268,21
B0DEMO0004,14,1717,22
B0DEMO0004,15,1944,24
B0DEMO0004,16,2048,25
B0DEMO0004,17,1787,27
B0DEMO0004,18,1646,29
B0DEMO0004,19,1724,31
B0DEMO0004,20,1792,32
B0DEMO0004,21,1843,34
B0DEMO0004,22,1703,35
B0DEMO0004,23,1495,37
B0DEMO0004,24,1655,38
B0DEMO0004,25,1540,40
B0DEMO0004,26,1344,43
B0DEMO0004,27,1490,46
B0DEMO0004,28,1383,47
B0DEMO0004,29,1599,49
B0DEMO0004,30,1753,50
B0DEMO0004,31,1712,52
B0DEMO0004,32,1385,55
B0DEMO0004,33,1372,57
B0DEMO0004,34,1478,58
B0DEMO0004,35,1495,61
B0DEMO0004,36,1303,63
B0DEMO0004,37,1307,65
B0DEMO0004,38,1547,67
B0DEMO0004,39,1261,69
B0DEMO0004,40,1199,71
B0DEMO0004,41,1233,74
B0DEMO0004,42,1254,77
B0DEMO0004,43,1081,79
B0DEMO0004,44,1126,83
B0DEMO0004,45,1024,86
B0DEMO0004,46,1077,89
B0DEMO0004,47,1253,91
B0DEMO0004,48,1119,94
B0DEMO0004,49,1025,98
B0DEMO0004,50,937,100
B0DEMO0004,51,964,103
B0DEMO0004,52,1052,106
B0DEMO0004,53,904,110
B0DEMO0004,54,1039,113
B0DEMO0004,55,810,117
B0DEMO0004,56,864,121
B0DEMO0004,57,994,124
B0DEMO0004,58,720,129
B0DEMO0004,59,910,132
B0DEMO0004,60,697,137
B0DEMO0004,61,785,142
B0DEMO0004,62,763,146
B0DEMO0004,63,808,151
B0DEMO0004,64,574,156
B0DEMO0004,65,620,163
B0DEMO0004,66,676,168
B0DEMO0004,67,694,171
B0DEMO0004,68,630,176
B0DEMO0004,69,651,181
B0DEMO0004,70,589,187
B0DEMO0004,71,614,190
B0DEMO0004,72,580,195
B0DEMO0004,73,619,200
B0DEMO0004,74,623,204
B0DEMO0004,75,653,207
B0DEMO0004,76,541,213
B0DEMO0004,77,545,220
B0DEMO0004,78,550,226
B0DEMO0004,79,524,234
B0DEMO0004,80,524,241
B0DEMO0004,81,455,246
B0DEMO0004,82,521,254
B0DEMO0004,83,461,260
B0DEMO0004,84,451,268
B0DEMO0004,85,421,277
B0DEMO0004,86,515,282
B0DEMO0004,87,456,286
B0DEMO0004,88,497,295
B0DEMO0004,89,455,299
B0DEMO0004,90,382,310
B0DEMO0004,91,395,320
B0DEMO0004,92,451,328
B0DEMO0004,93,393,338
B0DEMO0004,94,377,349
B0DEMO0004,95,400,359
B0DEMO0004,96,394,365
B0DEMO0004,97,364,376
B0DEMO0004,98,379,380
B0DEMO0004,99,370,389
B0DEMO0004,100,308,398
B0DEMO0004,101,390,407
B0DEMO0004,102,347,417
B0DEMO0004,103,407,425
B0DEMO0004,104,331,436
B0DEMO0004,105,317,449
B0DEMO0004,106,392,454
B0DEMO0004,107,311,462
B0DEMO0004,108,333,467
B0DEMO0004,109,365,478
B0DEMO0004,110,337,487
B0DEMO0004,111,301,501
B0DEMO0004,112,347,507
B0DEMO0004,113,335,513
B0DEMO0004,114,376,523
B0DEMO0004,115,354,534
B0DEMO0004,116,430,540
B0DEMO0004,117,295,550
B0DEMO0004,118,336,556
B0DEMO0004,119,308,569
B0DEMO0005,0,1585,2
B0DEMO0005,1,1766,4
B0DEMO0005,2,1889,6
B0DEMO0005,3,1614,8
B0DEMO0005,4,1511,9
B0DEMO0005,5,1627,11
B0DEMO0005,6,1626,13
B0DEMO0005,7,1409,14
B0DEMO0005,8,1520,16
B0DEMO0005,9,1455,18
B0DEMO0005,10,1425,20
B0DEMO0005,11,1441,22
B0DEMO0005,12,1589,24
B0DEMO0005,13,1823,26
B0DEMO0005,14,1636,27
B0DEMO0005,15,1738,28
B0DEMO0005,16,1596,30
B0DEMO0005,17,1698,31
B0DEMO0005,18,1686,33
B0DEMO0005,19,1536,36
B0DEMO0005,20,1689,38
B0DEMO0005,21,1427,40
B0DEMO0005,22,1605,42
B0DEMO0005,23,1534,44
B0DEMO0005,24,1797,46
B0DEMO0005,25,1413,48
B0DEMO0005,26,1478,50
B0DEMO0005,27,1395,51
B0DEMO0005,28,1463,54
B0DEMO0005,29,1575,57
B0DEMO0005,30,1429,58
B0DEMO0005,31,1371,60
B0DEMO0005,32,1208,62
B0DEMO0005,33,1656,64
B0DEMO0005,34,1346,65
B0DEMO0005,35,1246,68
B0DEMO0005,36,1362,71
B0DEMO0005,37,1171,73
B0DEMO0005,38,1115,76
B0DEMO0005,39,1157,78
B0DEMO0005,40,1250,80
B0DEMO0005,41,1394,82
B0DEMO0005,42,1230,84
B0DEMO0005,43,1065,86
B0DEMO0005,44,1121,90
B0DEMO0005,45,1443,92
B0DEMO0005,46,1252,95
B0DEMO0005,47,1109,97
B0DEMO0005,48,1115,101
B0DEMO0005,49,1047,102
B0DEMO0005,50,1101,104
B0DEMO0005,51,1022,107
B0DEMO0005,52,951,110
B0DEMO0005,53,1143,113
B0DEMO0005,54,997,116
B0DEMO0005,55,987,118
B0DEMO0005,56,976,121
B0DEMO0005,57,1006,124
B0DEMO0005,58,919,126
B0DEMO0005,59,955,130
B0DEMO0005,60,1001,133
B0DEMO0005,61,941,136
B0DEMO0005,62,836,139
B0DEMO0005,63,958,141
B0DEMO0005,64,824,147
B0DEMO0005,65,872,149
B0DEMO0005,66,767,152
B0DEMO0005,67,764,157
B0DEMO0005,68,905,161
B0DEMO0005,69,758,166
B0DEMO0005,70,768,169
B0DEMO0005,71,876,171
B0DEMO0005,72,1029,174
B0DEMO0005,73,807,178
B0DEMO0005,74,790,181
B0DEMO0005,75,692,185
B0DEMO0005,76,807,188
B0DEMO0005,77,781,192
B0DEMO0005,78,606,198
B0DEMO0005,79,746,201
B0DEMO0005,80,680,205
B0DEMO0005,81,713,210
B0DEMO0005,82,731,214
B0DEMO0005,83,722,218
B0DEMO0005,84,591,221
B0DEMO0005,85,610,226
B0DEMO0005,86,594,230
B0DEMO0005,87,684,234
B0DEMO0005,88,612,240
B0DEMO0005,89,680,244
B0DEMO0005,90,540,249
B0DEMO0005,91,645,255
B0DEMO0005,92,656,258
B0DEMO0005,93,642,265
B0DEMO0005,94,633,269
B0DEMO0005,95,543,276
B0DEMO0005,96,611,280
B0DEMO0005,97,537,285
B0DEMO0005,98,604,289
B0DEMO0005,99,533,294
B0DEMO0005,100,579,299
B0DEMO0005,101,515,303
B0DEMO0005,102,545,310
B0DEMO0005,103,509,317
B0DEMO0005,104,529,321
B0DEMO0005,105,570,328
B0DEMO0005,106,601,331
B0DEMO0005,107,514,338
B0DEMO0005,108,511,344
B0DEMO0005,109,530,348
B0DEMO0005,110,564,354
B0DEMO0005,111,546,359
B0DEMO0005,112,519,367
B0DEMO0005,113,480,374
B0DEMO0005,114,528,378
B0DEMO0005,115,527,382
B0DEMO0005,116,569,386
B0DEMO0005,117,501,391
B0DEMO0005,118,495,395
B0DEMO0005,119,479,403
B0DEMO0006,0,1954,1
B0DEMO0006,1,2066,3
B0DEMO0006,2,2006,4
B0DEMO0006,3,1848,6
B0DEMO0006,4,1851,8
B0DEMO0006,5,1778,10
B0DEMO0006,6,1937,11
B0DEMO0006,7,2567,12
B0DEMO0006,8,2040,13
B0DEMO0006,9,2274,15
B0DEMO0006,10,1870,16
B0DEMO0006,11,2123,17
B0DEMO0006,12,2128,19
B0DEMO0006,13,1849,21
B0DEMO0006,14,1996,22
B0DEMO0006,15,2069,24
B0DEMO0006,16,1958,25
B0DEMO0006,17,1993,26
B0DEMO0006,18,1878,27
B0DEMO0006,19,2041,29
B0DEMO0006,20,1681,30
B0DEMO0006,21,1600,33
B0DEMO0006,22,2062,34
B0DEMO0006,23,1972,36
B0DEMO0006,24,1700,38
B0DEMO0006,25,1949,40
B0DEMO0006,26,2035,42
B0DEMO0006,27,1706,44
B0DEMO0006,28,2070,45
B0DEMO0006,29,1803,46
B0DEMO0006,30,1623,48
B0DEMO0006,31,1638,49
B0DEMO0006,32,1533,51
B0DEMO0006,33,1535,53
B0DEMO0006,34,1744,54
B0DEMO0006,35,1542,56
B0DEMO0006,36,1644,58
B0DEMO0006,37,1327,59
B0DEMO0006,38,1555,60
B0DEMO0006,39,1474,63
B0DEMO0006,40,1435,65
B0DEMO0006,41,1405,68
B0DEMO0006,42,1318,71
B0DEMO0006,43,1091,73
B0DEMO0006,44,1219,76
B0DEMO0006,45,1313,79
B0DEMO0006,46,1166,81
B0DEMO0006,47,1474,82
B0DEMO0006,48,1139,84
B0DEMO0006,49,1359,87
B0DEMO0006,50,1206,90
B0DEMO0006,51,1170,92
B0DEMO0006,52,1119,95
B0DEMO0006,53,1095,98
B0DEMO0006,54,1079,100
B0DEMO0006,55,1216,101
B0DEMO0006,56,1042,105
B0DEMO0006,57,1115,108
B0DEMO0006,58,1189,109
B0DEMO0006,59,874,114
B0DEMO0006,60,976,117
B0DEMO0006,61,967,120
B0DEMO0006,62,1081,123
B0DEMO0006,63,1014,126
B0DEMO0006,64,997,130
B0DEMO0006,65,891,132
B0DEMO0006,66,848,135
B0DEMO0006,67,806,138
B0DEMO0006,68,951,141
B0DEMO0006,69,938,144
B0DEMO0006,70,918,147
B0DEMO0006,71,870,151
B0DEMO0006,72,776,154
B0DEMO0006,73,753,160
B0DEMO0006,74,853,163
B0DEMO0006,75,841,168
B0DEMO0006,76,979,171
B0DEMO0006,77,679,173
B0DEMO0006,78,753,179
B0DEMO0006,79,705,181
B0DEMO0006,80,675,185
B0DEMO0006,81,639,190
B0DEMO0006,82,732,195
B0DEMO0006,83,678,198
B0DEMO0006,84,710,201
B0DEMO0006,85,638,205
B0DEMO0006,86,645,210
B0DEMO0006,87,600,214
B0DEMO0006,88,653,218
B0DEMO0006,89,614,224
B0DEMO0006,90,582,228
B0DEMO0006,91,684,232
B0DEMO0006,92,534,237
B0DEMO0006,93,579,243
B0DEMO0006,94,571,249
B0DEMO0006,95,515,256
B0DEMO0006,96,515,264
B0DEMO0006,97,483,270
B0DEMO0006,98,507,274
B0DEMO0006,99,504,279
B0DEMO0006,100,553,285
B0DEMO0006,101,554,292
B0DEMO0006,102,506,296
B0DEMO0006,103,470,301
B0DEMO0006,104,575,307
B0DEMO0006,105,477,316
B0DEMO0006,106,548,320
B0DEMO0006,107,517,325
B0DEMO0006,108,483,331
B0DEMO0006,109,406,340
B0DEMO0006,110,448,347
B0DEMO0006,111,454,351
B0DEMO0006,112,498,358
B0DEMO0006,113,463,363
B0DEMO0006,114,496,371
B0DEMO0006,115,600,374
B0DEMO0006,116,505,381
B0DEMO0006,117,410,387
B0DEMO0006,118,506,394
B0DEMO0006,119,543,399
B0DEMO0007,0,1065,2
B0DEMO0007,1,1173,4
B0DEMO0007,2,1274,6
B0DEMO0007,3,1118,9
B0DEMO0007,4,1215,10
B0DEMO0007,5,1031,12
B0DEMO0007,6,1279,14
B0DEMO0007,7,1222,16
B0DEMO0007,8,1209,18
B0DEMO0007,9,1054,21
B0DEMO0007,10,1134,23
B0DEMO0007,11,1180,25
B0DEMO0007,12,1101,28
B0DEMO0007,13,1073,30
B0DEMO0007,14,1058,33
B0DEMO0007,15,1071,36
B0DEMO0007,16,1091,39
B0DEMO0007,17,1041,40
B0DEMO0007,18,1297,41
B0DEMO0007,19,1151,44
B0DEMO0007,20,925,47
B0DEMO0007,21,1367,49
B0DEMO0007,22,1046,51
B0DEMO0007,23,1342,53
B0DEMO0007,24,1101,56
B0DEMO0007,25,1050,58
B0DEMO0007,26,1002,61
B0DEMO0007,27,986,63
B0DEMO0007,28,1077,66
B0DEMO0007,29,917,69
B0DEMO0007,30,1065,72
B0DEMO0007,31,999,75
B0DEMO0007,32,900,77
B0DEMO0007,33,911,79
B0DEMO0007,34,1015,80
B0DEMO0007,35,983,83
B0DEMO0007,36,981,85
B0DEMO0007,37,890,87
B0DEMO0007,38,880,91
B0DEMO0007,39,1009,93
B0DEMO0007,40,847,96
B0DEMO0007,41,857,100
B0DEMO0007,42,984,103
B0DEMO0007,43,883,107
B0DEMO0007,44,904,109
B0DEMO0007,45,799,111
B0DEMO0007,46,811,115
B0DEMO0007,47,856,117
B0DEMO0007,48,829,120
B0DEMO0007,49,810,123
B0DEMO0007,50,929,125
B0DEMO0007,51,907,127
B0DEMO0007,52,761,129
B0DEMO0007,53,815,132
B0DEMO0007,54,761,136
B0DEMO0007,55,779,138
B0DEMO0007,56,785,142
B0DEMO0007,57,851,145
B0DEMO0007,58,824,147
B0DEMO0007,59,763,151
B0DEMO0007,60,819,153
B0DEMO0007,61,713,158
B0DEMO0007,62,827,161
B0DEMO0007,63,815,164
B0DEMO0007,64,614,168
B0DEMO0007,65,753,171
B0DEMO0007,66,685,173
B0DEMO0007,67,708,178
B0DEMO0007,68,650,181
B0DEMO0007,69,595,187
B0DEMO0007,70,657,190
B0DEMO0007,71,718,193
B0DEMO0007,72,728,195
B0DEMO0007,73,684,199
B0DEMO0007,74,734,204
B0DEMO0007,75,583,208
B0DEMO0007,76,610,212
B0DEMO0007,77,528,217
B0DEMO0007,78,570,223
B0DEMO0007,79,555,227
B0DEMO0007,80,588,233
B0DEMO0007,81,606,237
B0DEMO0007,82,609,242
B0DEMO0007,83,621,246
B0DEMO0007,84,593,250
B0DEMO0007,85,575,255
B0DEMO0007,86,539,258
B0DEMO0007,87,560,263
B0DEMO0007,88,590,265
B0DEMO0007,89,514,270
B0DEMO0007,90,546,276
B0DEMO0007,91,544,280
B0DEMO0007,92,492,287
B0DEMO0007,93,736,291
B0DEMO0007,94,534,294
B0DEMO0007,95,491,301
B0DEMO0007,96,546,305
B0DEMO0007,97,459,312
B0DEMO0007,98,641,315
B0DEMO0007,99,579,321
B0DEMO0007,100,495,327
B0DEMO0007,101,486,331
B0DEMO0007,102,501,336
B0DEMO0007,103,481,341
B0DEMO0007,104,566,344
B0DEMO0007,105,463,348
B0DEMO0007,106,491,352
B0DEMO0007,107,486,357
B0DEMO0007,108,547,362
B0DEMO0007,109,493,367
B0DEMO0007,110,512,372
B0DEMO0007,111,491,377
B0DEMO0007,112,514,382
B0DEMO0007,113,512,386
B0DEMO0007,114,513,392
B0DEMO0007,115,525,398
B0DEMO0007,116,485,402
B0DEMO0007,117,459,407
B0DEMO0007,118,578,412
B0DEMO0007,119,463,418
B0DEMO0008,0,972,1
B0DEMO0008,1,960,3
B0DEMO0008,2,857,6
B0DEMO0008,3,1067,10
B0DEMO0008,4,982,12
B0DEMO0008,5,836,15
B0DEMO0008,6,859,18
B0DEMO0008,7,870,21
B0DEMO0008,8,798,25
B0DEMO0008,9,750,27
B0DEMO0008,10,849,30
B0DEMO0008,11,865,33
B0DEMO0008,12,966,36
B0DEMO0008,13,907,38
B0DEMO0008,14,773,42
B0DEMO0008,15,855,45
B0DEMO0008,16,877,49
B0DEMO0008,17,798,51
B0DEMO0008,18,879,53
B0DEMO0008,19,806,56
B0DEMO0008,20,755,59
B0DEMO0008,21,794,62
B0DEMO0008,22,859,65
B0DEMO0008,23,895,68
B0DEMO0008,24,762,71
B0DEMO0008,25,846,74
B0DEMO0008,26,827,77
B0DEMO0008,27,874,79
B0DEMO0008,28,738,81
B0DEMO0008,29,739,86
B0DEMO0008,30,837,89
B0DEMO0008,31,692,94
B0DEMO0008,32,741,96
B0DEMO0008,33,687,99
B0DEMO0008,34,573,103
B0DEMO0008,35,664,107
B0DEMO0008,36,676,110
B0DEMO0008,37,730,113
B0DEMO0008,38,779,117
B0DEMO0008,39,690,120
B0DEMO0008,40,633,123
B0DEMO0008,41,677,126
B0DEMO0008,42,635,131
B0DEMO0008,43,585,135
B0DEMO0008,44,628,138
B0DEMO0008,45,578,143
B0DEMO0008,46,646,148
B0DEMO0008,47,705,152
B0DEMO0008,48,677,157
B0DEMO0008,49,617,162
B0DEMO0008,50,586,166
B0DEMO0008,51,735,171
B0DEMO0008,52,694,174
B0DEMO0008,53,588,177
B0DEMO0008,54,570,183
B0DEMO0008,55,518,188
B0DEMO0008,56,525,193
B0DEMO0008,57,572,199
B0DEMO0008,58,472,204
B0DEMO0008,59,517,209
B0DEMO0008,60,540,215
B0DEMO0008,61,506,221
B0DEMO0008,62,487,228
B0DEMO0008,63,503,234
B0DEMO0008,64,554,239
B0DEMO0008,65,489,245
