
====================================================================================================
  MEEST TRENDING TERMS — sector: HAIR | land: Nederland (NL) | 2026-08-16 11:03 UTC
====================================================================================================
    # term                    score lok.share est. lok. views lok.posts/d  vs prior    eng
----------------------------------------------------------------------------------------------------
    1 #krullen                  94%      57%          582.8M        2.57    x11.02   4.9%
   32 #haarverzorging           48%      23%           21.1M        0.29     x4.29   2.1%
   33 #pluizighaar              48%      58%           11.5M        0.71     x4.29   1.9%
   34 #haarvitamines            47%       6%             12K        0.71    x10.71   1.8%
   35 #krullenkapperkempen      46%      73%             74K        0.57     x4.29   4.6%
   36 #haargroei                45%      20%           16.1M        0.43     x3.21   4.9%
   37 #haarmasker               44%      13%            2.2M        0.14     x4.29   5.9%
   38 #kappertips               44%      35%            1.9M        0.29     x4.29   5.0%
   39 #langhaar                 43%       6%            7.6M        0.29     x4.29   2.7%
   40 #kappersopleiding         43%      72%           19.8M        0.43     x3.21   2.9%
   41 #krullendhaarroutine      42%      18%           15.2M        0.29     x2.86   6.0%
   42 #vlecht                   42%      56%            6.6M        0.86     x2.57   5.1%
   43 #slapenmetkrullen         42%      20%             83K        0.14     x4.29   5.4%
   44 #haarproducten            40%      15%            4.5M        0.14     x4.29   3.4%
   45 #haartransformatie        39%       8%            2.1M        0.14     x4.29   3.2%
   46 #hairtok                  39%       1%           2.21B         0.0         -   7.7%
   47 #haartutorial             39%       3%           43.6M        0.14         -   9.4%
   48 #zilvershampoo            37%      14%            750K        0.14     x4.29   2.8%
   49 #krullenroutine           36%      38%           28.5M        0.29     x1.71   3.1%
   50 #kroeshaar                36%      72%           28.0M        0.29     x0.95   6.5%
   51 #balayage                 35%       1%          201.5M         0.0         -   5.2%
   52 #krullenmaken             34%      53%           14.5M        0.29     x2.14   4.4%
   53 #kroeshaarkapper          33%      83%            245K        0.57     x2.45   4.9%
   54 #vethaartips              32%      18%            496K        0.29     x2.14   7.1%
   55 #tipsvoorgezondhaar       32%      32%            908K        0.43     x3.21   2.0%
   56 #haaruitval               31%      54%           49.4M        0.43         -   0.6%
   57 #hairhack                 31%       1%          263.6M         0.0         -   3.1%
   58 #haarverven               30%      57%           19.7M        0.14     x1.43   4.4%
   59 #keratinebehandeling      29%      14%            2.8M        0.14     x2.14   6.0%
   60 #kroeshaartips            27%      48%            1.4M        0.29     x1.43   6.8%
   61 #invlechten               26%      24%            794K        0.14     x2.14   4.7%
   62 #krullentip               26%      57%            2.3M        0.29     x2.14   3.4%
   63 #krullenstyling           26%      31%            291K        0.14     x2.14   4.7%
   64 #krullenbol               25%      54%           46.3M         0.0         -   1.1%
   65 #haartips                 24%      10%           11.6M        0.14     x0.86   5.8%
   66 #kapsel                   23%      11%           22.2M        0.14         -   5.4%
   67 #krullenproducten         23%      58%           18.5M        0.14     x0.71   3.8%
   68 #kroeshaarproducten       23%      46%            3.7M        0.14     x0.86   7.3%
   69 #kroeshaarverzorging      23%      68%            4.9M        0.29     x0.95   5.7%
   70 #kroeshaartiktok          23%      31%            683K        0.14     x1.07   7.1%
   71 #beschadigdhaar           22%      28%            2.9M        0.14     x2.14   2.1%
   72 #haar                     21%       2%           21.3M         0.0         -   5.4%
   73 #vlechten                 20%      31%            9.2M        0.29         -   6.1%
   74 #gezondhaartips           20%      21%            3.8M        0.14     x2.14   0.9%
   75 #krullenkop               20%      48%           25.6M        0.29         -   1.9%
   76 #haarroutine              18%       4%           12.1M         0.0         -   6.4%
   77 #nenescurls               18%      27%           20.1M         0.0         -   4.2%
   78 #krulpotentie             15%      23%            2.1M         0.0         -   7.5%
   79 #krullentiktok            15%      31%            1.3M         0.0         -   7.4%
   80 #fohnborstel              15%      62%           11.6M        0.14     x0.43   2.2%
   81 #fohn                     14%      11%            4.5M         0.0         -   6.5%
   82 #haartok                  12%       7%            7.5M        0.14         -   3.7%
   83 #droogshampoo             12%      31%           12.6M         0.0         -   3.1%
   84 #kortkapsel               12%      55%            148K         0.0         -   6.1%
   85 #krullenzonderhitte       12%      19%            3.4M         0.0         -   5.5%
   86 #type4haarverzorging      12%       7%             93K         0.0         -   6.3%
   87 #haarserum                11%       2%            1.4M        0.29         -   3.4%
   88 #fohnen                   11%      34%            3.3M         0.0         -   5.1%
   89 #knotje                   11%      14%            217K         0.0         -   5.7%
   90 #permanentkrullenjongens    11%      15%           10.0M         0.0         -   3.4%
   91 #blondhaar                10%       3%            542K         0.0         -   5.0%
   92 #krullenkapperrotterdam    10%      73%            4.6M         0.0         -   4.2%
   93 #haarkrullenzonderhitte    10%      10%            281K         0.0         -   5.2%
   94 #curacurls                10%       7%             25K        0.14         -   4.4%
   95 #hittebescherming          9%      12%            156K         0.0         -   4.7%
   96 #haarkleur                 9%      10%            2.7M         0.0         -   4.0%
   97 #pluishaar                 9%      27%            1.2M        0.14         -   3.7%
   98 #lianurehaircare           9%       9%             15K         0.0         -   4.7%
   99 #haarkleuren               9%      22%            2.5M         0.0         -   4.2%
  100 #golvendhaar               8%      18%            3.6M        0.29         -   1.3%
  101 #krullenverzorging         7%      67%            3.2M        0.14         -   2.1%
  102 #haarstyling               7%       1%            3.9M        0.14         -   1.8%
  103 #krullenbollen             7%      73%            7.7M         0.0         -   1.9%
  104 #kappernoorderwijk         7%      32%             34K         0.0         -   3.7%
  105 #haarbotox                 6%       3%            243K         0.0         -   2.9%
  106 #curlfident                6%       5%             16K         0.0         -   3.3%
  107 #hairby2                   5%       8%             87K         0.0         -   2.6%
  108 #keratine                  0%       0%               0         0.0         -      -
  109 #olaplex                   0%       0%               0         0.0         -      -
  110 #haarextensions            0%       0%               0         0.0         -      -
  111 #extensions                0%       0%               0         0.0         -      -
  112 #tapeextensions            0%       0%               0         0.0         -      -
  113 #curlygirlmethode          0%       0%               0         0.0         -      -
  114 #blowout                   0%       0%               0         0.0         -      -
  115 #heatlesscurls             0%       0%               0         0.0         -      -
  116 #slickback                 0%       0%               0         0.0         -      -
  117 #slickbackbun              0%       0%               0         0.0         -      -
  118 #highlights                0%       0%               0         0.0         -      -
  119 #wolfcut                   0%       0%               0         0.0         -      -
  120 #haartrends                0%       0%               0         0.0         -      -
  121 #haircare                  0%       0%               0         0.0         -      -
  122 #hairgrowth                0%       0%               0         0.0         -      -
  123 #rosemaryoil               0%       0%               0         0.0         -      -
  124 #bondrepair                0%       0%               0         0.0         -      -
  125 #scalpcare                 0%       0%               0         0.0         -      -
  126 #curlyhair                 0%       0%               0         0.0         -      -
  127 #hairoil                   0%       0%               0         0.0         -      -
  128 #hairmask                  0%       0%               0         0.0         -      -
  129 #hairtutorial              0%       0%               0         0.0         -      -
  130 #hairhacks                 0%       0%               0         0.0         -      -
  131 #hairloss                  0%       0%               0         0.0         -      -
  132 #hair                      0%       0%               0         0.0         -      -
  133 #curls                     0%       0%               0         0.0         -      -
  134 #curlyhairtutorial         0%       0%               0         0.0         -      -
  135 #healthyhair               0%       0%               0         0.0         -      -
  136 #hairtransformation        0%       0%               0         0.0         -      -
  137 #curlyhairroutine          0%       0%               0         0.0         -      -
  138 #curlygirl                 0%       0%               0         0.0         -      -
  139 #hairstyle                 0%       0%               0         0.0         -      -
  140 #curly                     0%       0%               0         0.0         -      -
  141 #hairstyling               0%       0%               0         0.0         -      -
  142 #hairtips                  0%       0%               0         0.0         -      -
  143 #braids                    0%       0%               0         0.0         -      -
  144 #haircut                   0%       0%               0         0.0         -      -
  145 #haircareroutine           0%       0%               0         0.0         -      -
  146 #naturalhair               0%       0%               0         0.0         -      -
  147 #curlyhairtips             0%       0%               0         0.0         -      -
  148 #hairstylist               0%       0%               0         0.0         -      -
  149 #4chair                    0%       0%               0         0.0         -      -
  150 #hairdresser               0%       0%               0         0.0         -      -
  151 #hairgrowthjourney         0%       0%               0         0.0         -      -
  152 #haircolor                 0%       0%               0         0.0         -      -
  153 #hairgoals                 0%       0%               0         0.0         -      -
  154 #hairroutine               0%       0%               0         0.0         -      -
  155 #curlyhairstyles           0%       0%               0         0.0         -      -
  156 #keratintreatment          0%       0%               0         0.0         -      -
  157 #curlygirlmethod           0%       0%               0         0.0         -      -
  158 #thecurlyhairnetwork       0%       0%               0         0.0         -      -
  159 #wavyhair                  0%       0%               0         0.0         -      -
  160 #curlyhairproducts         0%       0%               0         0.0         -      -
  161 #longhair                  0%       0%               0         0.0         -      -
  162 #type4hair                 0%       0%               0         0.0         -      -
  163 #hairtutorials             0%       0%               0         0.0         -      -
  164 #curlyhairspecialist       0%       0%               0         0.0         -      -
  165 #krul                      0%       0%               0         0.0         -      -
  166 #blackhair                 0%       0%               0         0.0         -      -
  167 #naturalhaircare           0%       0%               0         0.0         -      -
  168 #hairstyles                0%       0%               0         0.0         -      -
  169 #hairinspo                 0%       0%               0         0.0         -      -
  170 #curl                      0%       0%               0         0.0         -      -
  171 #hairoiling                0%       0%               0         0.0         -      -
  172 #wavyhairtutorial          0%       0%               0         0.0         -      -
  173 #curlyhaircut              0%       0%               0         0.0         -      -
  174 #curltok                   0%       0%               0         0.0         -      -
  175 #curlycut                  0%       0%               0         0.0         -      -
  176 #curlscheck                0%       0%               0         0.0         -      -
  177 #krultok                   0%       0%               0         0.0         -      -
  178 #halfwig                   0%       0%               0         0.0         -      -
  179 #naturalhaircommunity      0%       0%               0         0.0         -      -
  180 #afrohaar                  0%       0%               0         0.0         -      -
  181 #afrohair                  0%       0%               0         0.0         -      -
  182 #hairjourney               0%       0%               0         0.0         -      -
  183 #curlspecialist            0%       0%               0         0.0         -      -
  184 #braidinghair              0%       0%               0         0.0         -      -
  185 #wavyhairroutine           0%       0%               0         0.0         -      -
  186 #shinyhair                 0%       0%               0         0.0         -      -
  187 #healthyhairjourney        0%       0%               0         0.0         -      -
  188 #curlingiron               0%       0%               0         0.0         -      -
  189 #healthyhairtips           0%       0%               0         0.0         -      -
  190 #crulyhair                 0%       0%               0         0.0         -      -
  191 #curlyhairsalon            0%       0%               0         0.0         -      -
  192 #blonde                    0%       0%               0         0.0         -      -
  193 #prettycurlygirl           0%       0%               0         0.0         -      -
  194 #hairdye                   0%       0%               0         0.0         -      -
  195 #haircaretips              0%       0%               0         0.0         -      -
  196 #curlyhaircare             0%       0%               0         0.0         -      -
  197 #dryshampoo                0%       0%               0         0.0         -      -
  198 #hairtreatment             0%       0%               0         0.0         -      -
  199 #curlsroutine              0%       0%               0         0.0         -      -
  200 #blond                     0%       0%               0         0.0         -      -
----------------------------------------------------------------------------------------------------
  score = 35% lokale versnelling + 25% lokale activiteit + 25% lokale omvang + 15% engagement

  ONDERLIGGENDE DATA (top terms):

  • #KRULLEN — score 94%
      globaal: 1.01B views / 35K video's | lokaal: 84 video's (57%), 19.4M plays, ±582.8M views, 18 posts in 7d
      lokale co-hashtags: #curlyhair(17), #voorjou(15), #krullenkweken(14), #krullendhaar(13), #krullenkapper(12), #curlyhairroutine(11)
         5.5M plays | @amber.leemans | 298d | Zo bescherm jij jouw krullen tegen de kou en droge lucht 🧣🌨️ your
         1.8M plays | @millyrosax | 1267d | Replying to @Isra Boztoprak krullen kweken maar & TAG mij! 🫶🏽✨➰ #

  • #KAPPER — score 93%
      globaal: 1.15B views / 79K video's | lokaal: 58 video's (40%), 9.0M plays, ±464.8M views, 13 posts in 7d
      lokale co-hashtags: #barber(18), #barbershop(5), #haircut(4), #krullen(4), #voorjou(4), #fade(4)
         2.2M plays | @art_realtalk | 129d | Geef jullie oprecht mening??? #toxic #vrouw #viralvideos #relatie
         859K plays | @iliasvietto17 | 487d | Standaard ook filmen als ze klaar zijn 😂 #fyp #foryou #kapper #ba

  • #KRULLENKAPPER — score 87%
      globaal: 270.8M views / 17K video's | lokaal: 98 video's (67%), 14.2M plays, ±181.8M views, 11 posts in 7d
      lokale co-hashtags: #krullen(60), #curlyhair(27), #voorjou(23), #krullendhaar(20), #curlyhairtutorial(12), #krullentips(11)
         4.3M plays | @nenescurls | 1006d | HIJAB PROOF 🧕✅salon voor krullen👩‍🦱  #cgmethodenederland #curlyha
         1.1M plays | @nenescurls | 1043d | Zo blijven je krullen paar dagen zitten  #krullenkweken #krullenr

  • #KRULLENDHAAR — score 83%
      globaal: 247.3M views / 10K video's | lokaal: 69 video's (48%), 19.9M plays, ±117.7M views, 10 posts in 7d
      lokale co-hashtags: #krullen(22), #curlyhair(15), #krullentips(13), #krullendhaarroutine(12), #krullenkweken(11), #krullenkapper(9)
        10.8M plays | @ohlala.keriting | 513d | ad Breng m’n krullen weer tot leven met de @Garnier nl Loving Ble
         1.8M plays | @millyrosax | 1267d | Replying to @Isra Boztoprak krullen kweken maar & TAG mij! 🫶🏽✨➰ #

  • #KAPPERS — score 79%
      globaal: 72.5M views / 6K video's | lokaal: 38 video's (27%), 26.5M plays, ±19.3M views, 11 posts in 7d
      lokale co-hashtags: #kapper(18), #barber(10), #voorjou(5), #suriname🇸🇷(4), #barbershop(4), #surinametiktokers🇸🇷🇸🇷🇸🇷(3)
        21.7M plays | @gillianodeekman | 793d | De meest onserieuze kapper🤣 @DKSIXONE🐺 @JE🍀 @jrcas61._  @guirmo @
         2.1M plays | @raulgroenen_ | 21d | Ff snel naar de kapper… #humor 

  • #PERMANENTKRULLEN — score 74%
      globaal: 302.7M views / 682 video's | lokaal: 39 video's (29%), 5.9M plays, ±88.8M views, 4 posts in 7d
      lokale co-hashtags: #perm(21), #krullen(12), #permanent(9), #curly(7), #permanentkrullenjongens(6), #spiraalpermanent(5)
         2.2M plays | @vipabdullah | 1173d | Permanent krullen voor boys #fyp #yourpage #fy #foryoupage #fypシ゚
         1.1M plays | @vipabdullah | 1024d | Na 6 maanden weer permanent krullen #permanentkrullenboys #perman

  • #GEZONDHAAR — score 67%
      globaal: 140.8M views / 5K video's | lokaal: 38 video's (26%), 1.8M plays, ±37.2M views, 5 posts in 7d
      lokale co-hashtags: #healthyhair(10), #hairgrowth(8), #langhaar(5), #hair(5), #hairtips(5), #haargroei(4)
         222K plays | @iamhajar_ | 279d | Y’all asked, I deliver👼🏽Tip voor langer, dikker & gezonder haar🦁 
         171K plays | @leonierietdijk.hair | 115d | Goede resultaten beginnen bij de juiste routine ✨ In deze video d

  • #HOOFDHUID — score 65%
      globaal: 10.7M views / 806 video's | lokaal: 55 video's (37%), 3.9M plays, ±4.0M views, 12 posts in 7d
      lokale co-hashtags: #haargroei(5), #scalpcare(5), #hoofdhuidverzorging(5), #hoofdhuidproblemen(5), #gezondhaar(4), #haarverzorging(4)
         1.4M plays | @jeanneor | 118d | ad/de verzorging van je haren begint bij je hoofdhuid @Dove #beau
         383K plays | @valeryriemens | 113d | De laatste tijd focus ik meer op m’n hoofdhuid, and it shows. De 

  NOG NIET GEOOGSTE LOKALE KANDIDATEN (volgende run): #krullentrainen, #heatlesscurlsovernight, #hairproducts, #kapperstiktok, #vanstijlnaarkrullen, #kinkyhair, #permanenetkrullenboys, #hairgrowthtips, #shampoo, #haartransformation

  volledige onderliggende data -> data/trending_hair_nl_top200.json
