rank,term,trend_score,nl_share,nl_plays,est_nl_views,nl_posts_per_dag_7d,nl_velocity_ratio,prior_sample,nl_engagement,global_views,global_videos,top_nl_cohashtags
32,haarstijl,24,0.191,14185631,8048393,0.43,,1,0.1825,42030497,1658,#hairstyle #hairtutorial #hairtok #selfcare #haartutorial #haarstyling
33,krullenknippen,24,0.738,10057945,16228815,0.43,,3,0.0534,21992320,3066,#krullenkapper #krullen #curlyhair #krullendhaar #curls #curlygirl
34,haartips,24,0.098,2147072,11617431,0.14,0.86,5,0.0579,118663769,5018,#langhaar #hair #healthyhair #ivyknowshair #gekregen #hairtok
35,haarverf,23,0.246,3950498,16301064,0.29,,2,0.058,66223073,1975,#rozehaar #hairdye #hairtransformation #kapper #pinkhair #boxdye
36,haargroei,23,0.197,1491193,16095809,0.43,,4,0.0485,81589103,4682,#hairgrowth #hairtok #langhaar #hairgrowthjourney #voorjou #haargroeitips
37,kapsel,23,0.111,77500,22197254,0.14,,0,0.0537,199775293,8253,#studenten #flowhairstyle #longhair #kapper #flow
38,krullenproducten,23,0.585,31783027,18492076,0.14,0.71,6,0.0384,31608549,902,#krullen #krullendhaar #krullenkweken #curlyhairroutine #curlyhair #krullentips
39,kroeshaarproducten,23,0.465,4731861,3666193,0.14,0.86,5,0.0731,7879579,402,#kroeshaar #krullendhaar #krullentips #krullen #type4hair #4chair
40,kroeshaarverzorging,23,0.676,5283269,4859666,0.29,0.95,9,0.0573,7190323,983,#kroeshaar #kroeshaarproducten #krullendhaar #voorjou #4chair #kroeshaartips
41,krullenkapperbelgië,22,0.745,13635957,2875950,1.14,,2,0.0332,3860510,1362,#krullenkapper #krullen #krullendhaar #voorjou #krullentips #curlyhair
42,krullenspecialist,22,0.372,2619495,19973558,0.29,,2,0.0457,53632704,3252,#krullenkapper #krullen #curlyhair #krullendhaar #curls #curleducator
43,krullendhaarroutine,22,0.183,8578713,15157210,0.29,,3,0.0598,82781690,1349,#krullen #curlyhairroutine #curlyhair #krullendhaar #curlyhairtutorial #curlygirl
44,kappersopleiding,21,0.721,3787196,19771018,0.43,,4,0.0294,27418299,1898,#kapper #barber #opleiding #barberopleiding #school #fy
45,haar,21,0.017,86634,21288077,0.0,,0,0.0544,1277284640,108068,#kapper #hairroutine #curlyhair #washday #vlog #longhair
46,rozemarijnolie,20,0.489,7379623,2934128,0.29,,1,0.0857,6001626,196,#haargroei #rozemarijn #hairgrowth #rosemaryoil #fy #haarolie
47,gladhaar,20,0.5,3451588,232394,1.43,,4,0.0127,464788,259,#hairtok #haarverzorging #suriname #hair #hairstyling #voorjou
48,krullenkapperherentals,20,0.807,7677315,334623,1.0,,3,0.0411,414794,191,#krullenkapper #krullen #krullendhaar #curlyhair #hairby2 #voorjou
49,krullentutorial,20,0.524,21500947,3862543,0.71,,4,0.0476,7369326,112,#krullen #curlyhairtutorial #curlyhair #krullenkweken #curls #curlyhairroutine
50,haargroeitips,20,0.186,1683157,6063761,0.29,,2,0.0701,32564645,895,#haargroei #hairgrowth #gezondhaar #langhaar #hairtok #hairtips
51,haarverven,20,0.573,6337218,19698840,0.14,,3,0.0438,34407308,1951,#haarverf #harenverven #hairdye #hairtransformation #kapper #haircolor
52,vlechten,20,0.311,1745969,9168953,0.29,,0,0.0606,29512568,5702,#vlecht #invlechten #braids #hairstyle #invlechttutorial #vlechtjes
53,krullenkop,20,0.478,17054787,25573472,0.29,,0,0.0192,53471806,314,#krullen #krullenkapper #krullendhaar #krullentips #curlyhair #krullendhaarroutine
54,krullenmaken,19,0.527,17495568,14477572,0.29,,4,0.0437,27450982,829,#krullen #curls #curlyhairtutorial #krullendhaar #curlyhair #krullentips
55,haarverzorging,18,0.229,3662648,21072661,0.29,,2,0.0213,91953430,10051,#haircare #voorjou #hoofdhuid #hairtok #haarroutine #vethaar
56,haarroutine,18,0.038,1397948,12094942,0.0,,2,0.0639,319306486,10202,#curlyhairtutorial #curlyhairroutine #curlyhairstyles #curlyhairtips #curlyhairproducts #haircaretip
57,nenescurls,18,0.266,9673400,20096077,0.0,,0,0.0422,75533531,540,#curlyhairtutorial #krullenkapperutrecht #cgmethodenederland #curlyhair #krullenkweken #krullen
58,vethaartips,17,0.176,1459185,495619,0.29,,4,0.0712,2817205,86,#vethaar #hairtok #haartips #tipstegenvethaar #gezondhaar #jongemoeder
59,haartip,16,0.116,2331596,1143100,0.43,,2,0.0557,9884459,402,#haartips #langhaar #haar #gezondhaar #hairtok #lavalencio
60,krullenkapperkempen,16,0.734,7078495,73813,0.57,,4,0.046,100512,137,#krullenkapper #krullen #krullendhaar #curlyhair #voorjou #krullenkweken
61,vethaar,15,0.299,4996570,6008810,0.29,,1,0.0422,20122527,462,#droogshampoo #vethaartips #hairtok #haartips #gezondhaar #healthyhair
62,kroeshaartiktok,15,0.314,3180188,682872,0.14,,4,0.071,2175662,64,#kroeshaar #4chair #krullen #kroeshaarverzorging #krullendhaar #kroeshaarproducten
63,krulpotentie,15,0.229,9067136,2052593,0.0,,1,0.0749,8949308,128,#krullenkweken #krullendhaar #krullentips #krullen #voorjou #hairtok
64,krullentiktok,15,0.308,6146837,1263326,0.0,,1,0.0745,4098792,67,#krullen #curlyhair #krullenkweken #krullentips #krullenroutine #krullendhaar
65,fohnborstel,15,0.618,11026366,11588218,0.14,0.43,10,0.022,18749477,628,#hairtok #haartutorial #haar #blowout #fohnen #hair
66,haarmasker,14,0.133,1709739,2176862,0.14,,1,0.0595,16383758,1091,#hairtok #haircare #hairgrowth #hairmask #haarverzorging #hairtips
67,kappertips,14,0.352,4746544,1874106,0.29,,2,0.0503,5328341,245,#kapper #tips #haartips #barbier #opleiding #keischerponlineacademy
68,keratinebehandeling,14,0.138,1023845,2796807,0.14,,2,0.0601,20276856,5149,#keratintreatment #fyyyyyyyyyyyyyyyy #keratine #fygpシ #aestheticangel #ladies27🔥
69,fohn,14,0.106,277956,4500811,0.0,,0,0.0648,42307627,1194,#fohnen #voorjou #föhn #action #hair #fohnborstel
70,haarvitamines,12,0.064,20630,11891,0.71,,2,0.0184,184973,41,#lucovitaal #haircare #hair #tiktokshop #beauty #hairvitamins
71,langhaar,12,0.056,280015,7618661,0.29,,2,0.027,136183582,9486,#hairtok #haartips #hairgrowth #haargroei #hairstylist #hairdusting
72,slapenmetkrullen,12,0.199,1854818,82699,0.14,,1,0.0544,416451,26,#krullen #krullentips #curlygirl #krullendhaar #curls #fy
73,haartok,12,0.067,580530,7523712,0.14,,0,0.0372,112855683,3140,#hairtok #gezondhaar #haartips #hairjourney #langhaar #tipsvandekapster
74,droogshampoo,12,0.307,4146342,12617274,0.0,,3,0.0313,41156348,861,#dryshampoo #hairtok #vethaar #kruidvat #review #haircare
75,kortkapsel,12,0.554,3096673,148111,0.0,,4,0.0614,267245,119,#kapsel #haircut #kapper #hairtok #hairtransformation #korthaar
76,krullenzonderhitte,12,0.186,3788900,3388706,0.0,,2,0.0549,18198609,316,#heatlesscurls #hairtok #hairtutorial #heatlesscurlsovernight #haarkrullenzonderhitte #hair
77,type4haarverzorging,12,0.068,554955,93241,0.0,,0,0.0633,1361331,29,#kroeshaar #krullendhaar #type4hair #type4haircare #4chair #kroeshaarproducten
78,invlechten,11,0.244,1590633,793961,0.14,,2,0.0473,3255244,901,#vlecht #vlechten #hairtutorial #haartutorial #haarstijl #vlechtenmaken
79,krullentip,11,0.571,27461688,2334821,0.29,,4,0.0337,4085937,86,#krullen #krullentips #krullenkweken #krullendhaar #hairtok #curlyhair
80,krullenstyling,11,0.312,9578194,291338,0.14,,2,0.0467,934993,111,#krullen #curlyhairtutorial #curlyhair #curls #curlyhairroutine #hairtok
81,haarserum,11,0.021,318064,1431577,0.29,,0,0.0341,67284141,2586,#hoofdhuidserum #scalpserum #haargroei #gezondhaartips #gezondhaar #lucovitaal
82,fohnen,11,0.343,3496772,3268915,0.0,,1,0.0515,9534336,1925,#kapper #blowout #fohnborstel #fohn #haartips #voorjou
83,knotje,11,0.135,385996,217213,0.0,,2,0.0569,1613586,79,#knotjes #paard #fy #paardenmeisje #manege #paarden
84,permanentkrullenjongens,11,0.15,3025578,9985813,0.0,,0,0.0338,66723388,135,#permanentkrullen #permanent #permanenetkrullenboys #permanentkrullenboys #fy #fade
85,haarproducten,10,0.148,3781257,4520916,0.14,,1,0.0335,30570009,2552,#haarroutine #hairtok #kruidvat #gezondhaar #curlyhairtutorial #curlyhairroutine
86,tipsvoorgezondhaar,10,0.316,9333583,908456,0.43,,4,0.0196,2876778,52,#gezondhaar #gezondhaartips #healthyhair #hairtransformation #healthyhairtips #haarroutine
87,blondhaar,10,0.028,125242,542060,0.0,,0,0.0497,19378651,2280,#fy #blond #blondhair #haar #blowup #letthisblowup
88,krullenkapperrotterdam,10,0.73,9631672,4568621,0.0,,2,0.0424,6260704,1234,#krullenkapper #krullen #krullenknippen #curlyhair #krullendhaar #curlyhairtutorial
89,haarkrullenzonderhitte,10,0.096,1601033,280726,0.0,,2,0.0525,2915236,152,#heatlesscurls #krullenzonderhitte #hairtutorial #haartutorial #hairtok #budgetbeauty
90,curacurls,10,0.071,157055,24954,0.14,,0,0.0437,349368,125,#krullenspecialist #krullenkappergroningen #curlyhairsalon #krullenkapper #curlyhairspecialist #dagvlog
91,haartransformatie,9,0.075,2126969,2061141,0.14,,1,0.0316,27544347,2246,#transformatie #kapper #haarinspo #momtok #jongemoeder #curlyhair
92,hittebescherming,9,0.115,1273212,156268,0.0,,0,0.0471,1360451,124,#heatprotector #hair #haircare #healthyhair #stijltang #beautytip
93,haarkleur,9,0.105,949964,2698384,0.0,,2,0.0405,25724597,3835,#haarkleuren #haarverf #fy #hairtransformation #kleurspecialist #voorjou
94,pluishaar,9,0.273,1553700,1207041,0.14,,0,0.0371,4425818,230,#pluizighaar #haartips #hairtok #kapper #frizzyhair #pluis
95,lianurehaircare,9,0.089,153050,15306,0.0,,2,0.0469,171154,20,#lianure #kroeshaar #kroeshaarkapper #rotterdam #hairgrowth #lengthretention
96,haarkleuren,9,0.221,2856877,2489005,0.0,,1,0.042,11254632,1424,#haircolor #hairtransformation #hair #haarkleuring #haar #haartransformatie
97,golvendhaar,8,0.185,12762360,3628672,0.29,,0,0.0126,19594834,358,#krullenkweken #hairtok #krullen #krullendhaar #curlyhair #beautytok
98,zilvershampoo,7,0.145,994607,750471,0.14,,1,0.0283,5181830,268,#silvershampoo #andrelon #hairtok #shampoo #finnleys #finnleyshaircosmetics
99,beschadigdhaar,7,0.281,7801240,2904824,0.14,,2,0.021,10353093,575,#kapper #damagedhair #haarverzorging #hairtok #krullen #haarherstel
100,krullenverzorging,7,0.667,13740535,3225011,0.14,,0,0.0214,4837517,656,#krullen #curlyhairroutine #krullendhaar #curlyhairtutorial #krullenroutine #curlygirl
101,haarstyling,7,0.007,6432,3870244,0.14,,0,0.0177,541834282,23585,#styling
102,krullenbollen,7,0.733,34783620,7712122,0.0,,2,0.0187,10523083,2979,#krullen #krullendhaar #krullenbol #curlyhair #krullenkapper #krullentips
103,kappernoorderwijk,7,0.319,4312568,34470,0.0,,0,0.0367,108165,29,#kapper #barber #krullenkapper #krullen #voorjou #barbershop
104,haarbotox,6,0.031,101319,242850,0.0,,1,0.0295,7710492,2981,#naturalhair #explorepage✨ #botoxinabottle #hairtransformation #hairbotox #silkyhair
105,curlfident,6,0.047,91304,16405,0.0,,0,0.0333,352720,151,#krullenkapperrotterdam #krullenknippen #curlspecialist #kidscurlcut #innersense #type4hair
106,gezondhaartips,5,0.207,14039030,3801570,0.14,,2,0.0094,18374258,251,#gezondhaar #haarroutine #hairtok #haartips #healthyhair #hairgrowth
107,hairby2,5,0.08,290500,87432,0.0,,0,0.026,1086664,446,#herentals #krullentips #krullenkapperbelgië #krullenkweken #krullendhaarroutine #krullenproducten
108,keratine,0,0.0,0,0,0.0,,0,,412462150,54904,
109,olaplex,0,0.0,0,0,0.0,,0,,5543471769,494244,
110,haarextensions,0,0.0,0,0,0.0,,0,,143650099,10375,
111,extensions,0,0.0,0,0,0.0,,0,,12472469044,1180161,
112,tapeextensions,0,0.0,0,0,0.0,,0,,643540000,44209,
113,curlygirlmethode,0,0.0,0,0,0.0,,0,,29157135,1675,
114,blowout,0,0.0,0,0,0.0,,0,,25382821545,759112,
115,heatlesscurls,0,0.0,0,0,0.0,,0,,27040445930,507447,
116,slickback,0,0.0,0,0,0.0,,0,,16724996721,245255,
117,slickbackbun,0,0.0,0,0,0.0,,0,,2549426218,44863,
118,highlights,0,0.0,0,0,0.0,,0,,112642947690,32236619,
119,wolfcut,0,0.0,0,0,0.0,,0,,19096111536,325837,
120,haartrends,0,0.0,0,0,0.0,,0,,38981037,2257,
121,haircare,0,0.0,0,0,0.0,,0,,196636674798,8127631,
122,hairgrowth,0,0.0,0,0,0.0,,0,,58443251823,2612120,
123,rosemaryoil,0,0.0,0,0,0.0,,0,,6457106541,337348,
124,bondrepair,0,0.0,0,0,0.0,,0,,2102166133,23794,
125,scalpcare,0,0.0,0,0,0.0,,0,,11671603917,493399,
126,curlyhair,0,0.0,0,0,0.0,,0,,165017535988,6582562,
127,hairoil,0,0.0,0,0,0.0,,0,,19950134002,1147825,
128,hairmask,0,0.0,0,0,0.0,,0,,22094100307,1136556,
129,hairtutorial,0,0.0,0,0,0.0,,0,,178863997742,2732071,
130,hairhacks,0,0.0,0,0,0.0,,0,,21507917525,210350,
131,hairloss,0,0.0,0,0,0.0,,0,,30336276057,1087511,
132,hair,0,0.0,0,0,0.0,,0,,675190452700,32068039,
133,curls,0,0.0,0,0,0.0,,0,,61006232873,2227421,
134,curlyhairtutorial,0,0.0,0,0,0.0,,0,,25863714900,421884,
135,healthyhair,0,0.0,0,0,0.0,,0,,36196766195,1704681,
136,hairtransformation,0,0.0,0,0,0.0,,0,,131318873292,5978650,
137,curlyhairroutine,0,0.0,0,0,0.0,,0,,25207413206,550961,
138,curlygirl,0,0.0,0,0,0.0,,0,,17263963034,743033,
139,hairstyle,0,0.0,0,0,0.0,,0,,523996603558,19641572,
140,curly,0,0.0,0,0,0.0,,0,,39750699489,1592170,
141,hairstyling,0,0.0,0,0,0.0,,0,,10766506014,487409,
142,hairtips,0,0.0,0,0,0.0,,0,,37853164104,823856,
143,braids,0,0.0,0,0,0.0,,0,,67460403618,4426203,
144,haircut,0,0.0,0,0,0.0,,0,,292868843509,9510024,
145,haircareroutine,0,0.0,0,0,0.0,,0,,38086734733,1726600,
146,naturalhair,0,0.0,0,0,0.0,,0,,65693770136,4418017,
147,curlyhairtips,0,0.0,0,0,0.0,,0,,6567878923,122413,
148,hairstylist,0,0.0,0,0,0.0,,0,,71543540388,5224461,
149,4chair,0,0.0,0,0,0.0,,0,,13806230651,473307,
150,hairdresser,0,0.0,0,0,0.0,,0,,23135431212,1559797,
151,hairgrowthjourney,0,0.0,0,0,0.0,,0,,9848329064,436116,
152,haircolor,0,0.0,0,0,0.0,,0,,80509688161,4193476,
153,hairgoals,0,0.0,0,0,0.0,,0,,34802676116,2090580,
154,hairroutine,0,0.0,0,0,0.0,,0,,18591968589,564517,
155,curlyhairstyles,0,0.0,0,0,0.0,,0,,18340609386,427606,
156,keratintreatment,0,0.0,0,0,0.0,,0,,9130447387,760280,
157,curlygirlmethod,0,0.0,0,0,0.0,,0,,3506851161,93006,
158,thecurlyhairnetwork,0,0.0,0,0,0.0,,0,,9901491,187,
159,wavyhair,0,0.0,0,0,0.0,,0,,23711347994,647671,
160,curlyhairproducts,0,0.0,0,0,0.0,,0,,4122286727,119187,
161,longhair,0,0.0,0,0,0.0,,0,,82001230121,6600838,
162,type4hair,0,0.0,0,0,0.0,,0,,7688790146,243586,
163,hairtutorials,0,0.0,0,0,0.0,,0,,31264663407,679224,
164,curlyhairspecialist,0,0.0,0,0,0.0,,0,,529776429,19341,
165,krul,0,0.0,0,0,0.0,,0,,291816232,34812,
166,blackhair,0,0.0,0,0,0.0,,0,,18467128179,1287975,
167,naturalhaircare,0,0.0,0,0,0.0,,0,,5430232518,457376,
168,hairstyles,0,0.0,0,0,0.0,,0,,111213413959,3797164,
169,hairinspo,0,0.0,0,0,0.0,,0,,48887957068,1323913,
170,curl,0,0.0,0,0,0.0,,0,,6008639857,235819,
171,hairoiling,0,0.0,0,0,0.0,,0,,5521465881,156498,
172,wavyhairtutorial,0,0.0,0,0,0.0,,0,,2345621073,31820,
173,curlyhaircut,0,0.0,0,0,0.0,,0,,1367044477,33123,
174,curltok,0,0.0,0,0,0.0,,0,,2730113911,49474,
175,curlycut,0,0.0,0,0,0.0,,0,,2130961906,73399,
176,curlscheck,0,0.0,0,0,0.0,,0,,7065159852,732865,
177,krultok,0,0.0,0,0,0.0,,0,,3217497,136,
178,halfwig,0,0.0,0,0,0.0,,0,,1668763213,109626,
179,naturalhaircommunity,0,0.0,0,0,0.0,,0,,1368884091,86961,
180,afrohaar,0,0.0,0,0,0.0,,0,,15805988,1256,
181,afrohair,0,0.0,0,0,0.0,,0,,11041523378,534346,
182,hairjourney,0,0.0,0,0,0.0,,0,,7864418633,284316,
183,curlspecialist,0,0.0,0,0,0.0,,0,,1452442241,48646,
184,braidinghair,0,0.0,0,0,0.0,,0,,1742573511,87251,
185,wavyhairroutine,0,0.0,0,0,0.0,,0,,4827339863,68286,
186,shinyhair,0,0.0,0,0,0.0,,0,,14675724564,353402,
187,healthyhairjourney,0,0.0,0,0,0.0,,0,,3314732361,353478,
188,curlingiron,0,0.0,0,0,0.0,,0,,5882634401,210717,
189,healthyhairtips,0,0.0,0,0,0.0,,0,,3924867572,206202,
190,crulyhair,0,0.0,0,0,0.0,,0,,175439825,16084,
191,curlyhairsalon,0,0.0,0,0,0.0,,0,,201973476,10282,
192,blonde,0,0.0,0,0,0.0,,0,,90130287392,17258719,
193,prettycurlygirl,0,0.0,0,0,0.0,,0,,8577879,1016,
194,hairdye,0,0.0,0,0,0.0,,0,,32409436721,1569992,
195,haircaretips,0,0.0,0,0,0.0,,0,,20019361988,745094,
196,curlyhaircare,0,0.0,0,0,0.0,,0,,2286332598,78866,
197,dryshampoo,0,0.0,0,0,0.0,,0,,5492082647,353945,
198,hairtreatment,0,0.0,0,0,0.0,,0,,9542818354,1055121,
199,curlsroutine,0,0.0,0,0,0.0,,0,,1444148984,56736,
200,blond,0,0.0,0,0,0.0,,0,,10041676054,814766,
