keyword,ok,volume,cpc,difficulty,intent,trend,error
tool set,True,60500,1.6,60,commercial,stable,
drill,True,165000,2,78,commercial,stable,
screwdriver set,True,40500,1.2,50,transactional,stable,
measuring tape,True,74000,1.1,58,transactional,stable,
paint roller,True,49500,1,42,commercial,stable,
garden hose,True,165000,2,65,commercial,stable,
lawn mower,True,301000,4,78,transactional,stable,
plant pot,True,60500,1,52,commercial,stable,
fertilizer,True,135000,3,58,commercial,stable,
sunscreen,True,368000,4,82,commercial,rising,
moisturizer,True,201000,3,76,commercial,stable,
face wash,True,165000,2,68,commercial,stable,
body lotion,True,90500,2,62,commercial,stable,
deodorant,True,110000,3,64,commercial,stable,
razor,True,74000,2,55,commercial,stable,
nail clipper,True,40500,1,38,commercial,stable,
toothbrush,True,90500,2,52,commercial,stable,
toothpaste,True,110000,2,58,commercial,stable,
floss,True,60500,1,45,commercial,stable,
vitamins,True,246000,5,88,informational,stable,
protein bar,True,135000,4,62,commercial,stable,
granola,True,90500,2,55,commercial,stable,
olive oil,True,165000,3,58,commercial,stable,
rice cooker,True,201000,2,72,transactional,stable,
slow cooker,True,110000,2,68,transactional,stable,
waffle maker,True,135000,2,65,transactional,stable,
ice cream maker,True,90500,3,62,transactional,stable,
juicer,True,165000,4,70,transactional,stable,
food processor,True,110000,3,74,transactional,stable,
hand mixer,True,165000,1.5,58,commercial,stable,
phone charger,True,201000,2.1,65,transactional,stable,
usb cable,True,90500,1.2,60,transactional,stable,
laptop stand,True,135000,1.8,55,commercial,stable,
microphone,True,301000,2.5,75,commercial,stable,
headset,True,165000,2.2,72,commercial,stable,
keyboard,True,450000,1.5,70,commercial,stable,
mouse,True,301000,1.4,68,commercial,stable,
mouse pad,True,110000,0.9,52,commercial,stable,
desk organizer,True,90500,1.1,48,commercial,rising,
monitor arm,True,74000,2.8,56,commercial,stable,
ssd drive,True,110000,3.5,64,transactional,stable,
hard drive,True,246000,2.4,62,transactional,declining,
flash drive,True,90500,1.1,54,transactional,declining,
memory card,True,74000,1.3,55,transactional,stable,
router,True,246000,4.5,68,commercial,stable,
printer,True,368000,3.2,70,commercial,stable,
ink cartridge,True,40500,5.5,58,transactional,stable,
paper towels,True,135000,1.2,65,transactional,stable,
trash bags,True,74000,1.4,60,transactional,stable,
laundry detergent,True,110000,2.5,62,transactional,stable,
fabric softener,True,49500,1.8,50,commercial,stable,
dishwasher pods,True,33100,3.2,55,transactional,stable,
hand soap,True,90500,1.9,58,transactional,stable,
body wash,True,201000,1.5,64,commercial,stable,
lip balm,True,165000,1.8,85,commercial,stable,
shaving cream,True,49000,2.5,68,commercial,stable,
cotton swabs,True,33000,1.2,45,transactional,stable,
band aids,True,74000,1.5,72,commercial,stable,
first aid kit,True,110000,3.5,78,commercial,stable,
vitamins d,True,246000,1.2,82,informational,stable,
fish oil,True,135000,2.1,79,commercial,stable,
collagen,True,301000,4.5,92,commercial,rising,
creatine,True,450000,2.8,88,informational,rising,
pre workout,True,201000,5.5,86,commercial,stable,
protein shake,True,110000,3.2,81,commercial,stable,
meal prep containers,True,90500,2.4,74,transactional,stable,
water filter,True,135000,4.2,84,commercial,stable,
coffee beans,True,90500,3.8,76,commercial,stable,
tea bags,True,27000,1.5,55,commercial,stable,
matcha,True,165000,3.1,83,commercial,rising,
protein cookies,True,40500,2.9,64,commercial,stable,
energy drinks,True,110000,2.2,79,commercial,rising,
soda stream,True,90500,1.8,70,navigational,stable,
blender bottle,True,60500,1.4,62,navigational,stable,
lunch box,True,165000,1.6,80,transactional,stable,
thermos,True,74000,1.9,68,commercial,stable,
travel mug,True,49500,2.6,73,commercial,stable,
wine glasses,True,110000,2.1,77,transactional,stable,
baking sheet,True,40500,1.7,65,transactional,stable,
mixing bowls,True,110000,1.2,72,commercial,stable,
storage bins,True,246000,0.9,85,commercial,stable,
vacuum bags,True,90500,1.45,68,transactional,stable,
hangers,True,135000,0.65,78,commercial,stable,
shoe rack,True,301000,1.1,82,commercial,stable,
laundry basket,True,165000,0.75,75,commercial,stable,
ironing board,True,74000,1.35,64,commercial,stable,
steam iron,True,60500,2.1,69,commercial,stable,
tower fan,True,201000,1.05,76,commercial,rising,
ceiling fan,True,450000,1.5,88,commercial,stable,
light bulbs,True,165000,1.15,74,transactional,stable,
smoke detector,True,135000,2.8,68,transactional,stable,
carbon monoxide detector,True,110000,3.5,65,informational,stable,
fire extinguisher,True,165000,2.4,72,transactional,stable,
tape measure,True,90500,1.1,60,commercial,stable,
level tool,True,49500,1.3,58,commercial,stable,
paint brushes,True,110000,1.6,66,commercial,stable,
wallpaper,True,673000,1.85,90,commercial,rising,
curtain rods,True,246000,1.4,74,commercial,stable,
blackout curtains,True,301000,1.65,84,transactional,stable,
throw pillows,True,201000,1.2,86,commercial,stable,
blanket,True,368000,1.1,89,commercial,rising,
bed sheets,True,246000,1.9,87,transactional,stable,
pillow cases,True,74000,0.85,62,commercial,stable,
alarm clock,True,165000,1.55,70,commercial,stable,
night light,True,165000,1,68,commercial,stable,
book light,True,74000,1,52,commercial,stable,
kindle case,True,110000,2,72,transactional,stable,
ipad case,True,246000,2,85,transactional,stable,
phone holder,True,90500,1,65,commercial,stable,
car mount,True,60500,2,61,commercial,stable,
car vacuum,True,135000,2,74,transactional,stable,
car phone charger,True,49500,2,55,transactional,stable,
bike lights,True,74000,1,58,commercial,stable,
helmet,True,135000,3,88,informational,stable,
yoga block,True,49500,1,45,commercial,stable,
resistance bands,True,165000,2,70,commercial,stable,
dumbbells,True,201000,3,82,transactional,stable,
kettlebell,True,110000,3,75,transactional,stable,
jump rope,True,135000,1,62,commercial,stable,
foam roller,True,90500,1,58,commercial,stable,
massage gun,True,110000,3,76,transactional,stable,
running belt,True,33100,1,48,commercial,stable,
gym bag,True,135000,2,68,transactional,stable,
camping stove,True,60500,2,59,commercial,stable,
flashlight,True,165000,1,74,informational,stable,
headlamp,True,90500,1,63,commercial,stable,
pocket knife,True,135000,2,80,commercial,stable,
multi tool,True,49500,2,65,commercial,stable,
suitcase,True,165000,3,84,transactional,stable,
travel adapter,True,90500,1.2,65,commercial,stable,
packing cubes,True,110000,0.85,58,transactional,rising,
passport holder,True,74000,0.9,52,transactional,stable,
wallet,True,301000,2.5,85,commercial,stable,
crossbody bag,True,246000,1.4,72,transactional,rising,
tote bag,True,165000,1.1,78,commercial,stable,
messenger bag,True,90500,1.6,60,transactional,stable,
sunglasses,True,550000,3.5,92,commercial,stable,
reading glasses,True,135000,1.8,64,transactional,stable,
watch band,True,110000,1.2,55,transactional,stable,
necklace,True,368000,2.1,88,commercial,stable,
bracelet,True,201000,1.9,82,commercial,stable,
earrings,True,301000,1.7,85,commercial,stable,
ring box,True,49500,1.1,48,transactional,stable,
jewelry organizer,True,60500,0.95,54,transactional,rising,
dog collar,True,135000,1.3,62,transactional,stable,
aquarium filter,True,40500,2.2,45,commercial,stable,
plant pots,True,90500,0.75,58,transactional,rising,
leaf blower,True,165000,2.8,68,commercial,stable,
pressure washer,True,246000,3.2,70,commercial,stable,
patio furniture,True,450000,4.5,84,commercial,stable,
grill cover,True,74000,1.5,52,transactional,stable,
coolers,True,201000,2.4,75,commercial,stable,
ice packs,True,60500,1.1,42,transactional,stable,
beach towel,True,135000,0.8,64,transactional,rising,
swim goggles,True,110000,1.2,55,commercial,stable,
snorkel set,True,60000,1.5,48,commercial,stable,
tackle box,True,90000,0.8,42,commercial,stable,
binoculars,True,165000,1.6,60,commercial,stable,
telescope,True,135000,1.9,58,commercial,stable,
microscope kit,True,18000,1.1,35,commercial,stable,
lego set,True,450000,2.5,75,commercial,rising,
board games,True,301000,1.4,70,informational,stable,
puzzles,True,201000,0.9,65,commercial,stable,
playdough,True,40000,0.5,40,transactional,stable,
crayons,True,60000,0.4,45,transactional,stable,
markers,True,110000,0.7,50,commercial,stable,
sketchbook,True,74000,1.2,38,commercial,stable,
watercolor paints,True,49000,1.3,42,commercial,stable,
canvas panels,True,15000,1.1,32,transactional,stable,
guitar strings,True,90000,1.5,45,transactional,stable,
piano keyboard,True,165000,2.8,62,commercial,stable,
drum sticks,True,40000,0.9,35,transactional,stable,
microphone stand,True,33000,1.4,40,commercial,stable,
camera tripod,True,49000,2.1,48,commercial,stable,
camera bag,True,40000,1.8,45,commercial,stable,
lens cleaner,True,22000,0.6,25,transactional,stable,
drone,True,246000,2.2,72,commercial,stable,
action camera,True,74000,2.5,55,commercial,stable,
gopro mount,True,18000,1.6,38,transactional,stable,
sd card reader,True,165000,1.2,68,transactional,stable,
external battery,True,74000,1.5,72,transactional,stable,
power bank,True,246000,1.8,85,transactional,rising,
solar charger,True,90500,1.4,70,transactional,stable,
cable organizer,True,110000,0.9,55,commercial,stable,
desk mat,True,135000,0.8,62,transactional,rising,
monitor light,True,49500,1.1,52,commercial,rising,
webcam light,True,27100,0.95,48,commercial,stable,
ring light,True,201000,1.3,78,transactional,declining,
green screen,True,110000,1.1,65,transactional,declining,
tripod,True,165000,1.45,82,transactional,stable,
selfie stick,True,60500,0.7,58,transactional,declining,
bluetooth tracker,True,33100,2.5,75,commercial,rising,
airtag case,True,49500,1.2,64,transactional,stable,
key finder,True,40500,2.2,68,commercial,stable,
label maker,True,165000,1.8,76,transactional,stable,
laminator,True,90500,1.4,60,transactional,stable,
stapler,True,74000,0.6,52,transactional,stable,
binder clips,True,49500,0.4,45,transactional,stable,
notebooks,True,201000,0.9,88,informational,rising,
planners,True,165000,1.2,80,commercial,rising,
pens,True,135000,0.8,85,transactional,stable,
gel pens,True,60500,0.75,62,transactional,stable,
mechanical pencils,True,90500,0.85,58,transactional,stable,
highlighters,True,74000,0.65,55,transactional,stable,
sticky notes,True,165000,1.2,75,transactional,stable,
white board,True,246000,2.5,82,commercial,stable,
cork board,True,90000,1.8,65,transactional,stable,
calendar,True,1500000,1.1,90,informational,stable,
desk clock,True,49000,2.2,58,transactional,stable,
wall clock,True,201000,1.7,72,transactional,stable,
picture frames,True,301000,1.4,80,transactional,stable,
mirrors,True,450000,2.1,85,transactional,stable,
vases,True,135000,1.3,68,transactional,stable,
candles,True,368000,1.5,78,transactional,rising,
essential oils,True,165000,2.8,88,commercial,stable,
diffuser,True,110000,2.4,74,transactional,stable,
incense,True,135000,1.2,62,transactional,stable,
room spray,True,40000,2,55,transactional,rising,
cleaning wipes,True,49000,2.5,68,transactional,stable,
glass cleaner,True,33000,1.9,60,commercial,stable,
floor cleaner,True,27000,2.3,63,commercial,stable,
mop,True,110000,1.6,70,transactional,stable,
broom,True,90000,1.1,65,transactional,stable,
dustpan,True,22000,0.9,45,transactional,stable,
sponge,True,74000,0.7,52,transactional,stable,
scrub brush,True,18000,1.3,48,transactional,stable,
rubber gloves,True,33000,1.1,54,transactional,stable,
apron,True,135000,1.4,72,transactional,stable,
oven mitts,True,60000,1.2,58,transactional,stable,
pot holders,True,49500,1.2,48,commercial,stable,
spice rack,True,165000,1.85,62,commercial,rising,
salt pepper shakers,True,90500,1.45,55,commercial,stable,
measuring cups,True,74000,1.1,52,commercial,stable,
measuring spoons,True,40500,0.95,45,commercial,stable,
can opener,True,110000,2.1,58,commercial,stable,
bottle opener,True,60500,1.3,42,commercial,stable,
corkscrew,True,49500,2.5,48,commercial,stable,
peeler,True,33100,0.85,40,commercial,stable,
grater,True,27100,0.9,44,commercial,stable,
colander,True,40500,1.15,51,commercial,stable,
salad spinner,True,74000,1.75,54,commercial,rising,
food scale,True,135000,2.2,65,commercial,rising,
kitchen timer,True,49500,1.05,48,commercial,stable,
instant coffee,True,90500,1.4,58,commercial,rising,
oat milk,True,201000,3.5,72,commercial,rising,
almond milk,True,165000,2.8,68,commercial,stable,
protein pasta,True,49500,2.1,52,informational,rising,
quinoa,True,246000,1.2,60,informational,stable,
chia seeds,True,135000,1.1,55,informational,stable,
granola bars,True,74000,2.4,61,commercial,stable,
trail mix,True,90500,1.6,58,commercial,stable,
jerky,True,110000,2.2,64,commercial,rising,
nuts mix,True,22200,1.3,45,commercial,stable,
dried fruit,True,60500,1.5,52,commercial,stable,
honey,True,301000,1.2,75,informational,stable,
maple syrup,True,165000,0.85,68,commercial,stable,
peanut butter,True,201000,0.95,65,commercial,stable,
almond butter,True,90500,1.45,58,commercial,stable,
jam,True,110000,0.65,62,informational,stable,
hot sauce,True,246000,1.1,70,commercial,rising,
soy sauce,True,135000,0.75,64,informational,stable,
olive oil spray,True,33100,2.1,45,transactional,rising,
coconut oil,True,201000,1.25,72,informational,declining,
avocado oil,True,110000,1.85,63,commercial,rising,
vinegar,True,165000,0.55,66,informational,stable,
baking soda,True,246000,0.9,74,informational,stable,
flour,True,201000,0.45,68,informational,stable,
sugar,True,165000,0.6,71,informational,stable,
chocolate chips,True,90500,1.3,55,commercial,stable,
cake mix,True,110000,1.5,52,transactional,stable,
frosting,True,135000,0.8,58,informational,stable,
sprinkles,True,74000,1.1,48,transactional,stable,
ice cream,True,450000,0.75,82,informational,stable,
frozen pizza,True,90500,1.4,56,transactional,stable,
frozen berries,True,27100,1.15,42,commercial,rising,
yogurt,True,201000,0.85,78,informational,stable,
cheese,True,368000,0.7,80,informational,stable,
butter,True,301000,0.65,74,informational,stable,
eggs,True,550000,0.5,85,informational,stable,
chicken breast,True,450000,1.8,88,informational,stable,
ground beef,True,300000,1.5,82,informational,stable,
salmon,True,550000,2.2,85,informational,stable,
shrimp,True,450000,1.6,78,informational,stable,
tofu,True,250000,1.2,75,informational,stable,
tempeh,True,90000,1.4,68,informational,stable,
seitan,True,75000,1.3,65,informational,stable,
plant burger,True,40000,3.5,62,commercial,rising,
veggie chips,True,50000,2.8,58,commercial,stable,
tortilla chips,True,110000,1.9,72,informational,stable,
salsa,True,200000,1.5,75,informational,stable,
guacamole,True,250000,1.7,80,informational,stable,
hummus,True,165000,1.4,74,informational,stable,
crackers,True,90000,2.1,70,informational,stable,
cookies,True,800000,1.2,92,informational,stable,
brownies,True,450000,1.3,88,informational,stable,
muffins,True,200000,1.1,82,informational,stable,
bagels,True,165000,1.5,78,informational,stable,
bread,True,600000,1.1,90,informational,stable,
english muffins,True,90000,1.8,65,informational,stable,
cereal,True,200000,2.4,79,informational,stable,
oatmeal,True,250000,1.4,76,informational,stable,
pancake mix,True,60000,2.6,60,commercial,stable,
syrup,True,110000,1.9,72,informational,stable,
waffles,True,200000,1.4,78,informational,stable,
smoothie mix,True,22000,1.8,45,commercial,stable,
juice,True,165000,0.95,88,informational,stable,
sparkling water,True,110000,1.2,72,commercial,rising,
baby formula,True,90000,3.5,65,transactional,stable,
diapers,True,246000,1.1,78,transactional,stable,
baby wipes,True,135000,0.85,60,transactional,stable,
baby bottles,True,74000,1.45,55,commercial,stable,
pacifier,True,60000,0.9,52,commercial,stable,
baby monitor,True,165000,2.8,70,commercial,stable,
stroller,True,201000,2.5,75,commercial,stable,
car seat,True,301000,3.2,72,commercial,stable,
high chair,True,90000,1.6,58,commercial,stable,
baby clothes,True,301000,1.2,82,commercial,stable,
swaddle,True,74000,1.1,54,commercial,stable,
crib sheets,True,49500,1.35,48,transactional,stable,
nursing pillow,True,60000,2.1,52,commercial,stable,
breast pump,True,110000,4.5,68,commercial,stable,
pregnancy pillow,True,135000,1.75,62,commercial,stable,
maternity belt,True,27000,1.4,45,commercial,stable,
makeup brushes,True,110000,1.65,65,commercial,stable,
foundation,True,246000,2.4,85,commercial,stable,
mascara,True,201000,1.85,78,commercial,stable,
eyeliner,True,135000,1.4,75,commercial,stable,
lipstick,True,165000,1.6,79,commercial,stable,
nail polish,True,165000,1.2,72,commercial,stable,
nail file,True,49500,0.45,45,commercial,stable,
hair clips,True,110000,0.8,62,commercial,rising,
hair ties,True,74000,0.65,55,transactional,stable,
hair straightener,True,135000,1.4,78,commercial,stable,
curling iron,True,165000,1.2,75,commercial,stable,
hot rollers,True,40500,1.1,52,commercial,rising,
hair oil,True,90500,1.5,70,informational,rising,
leave in conditioner,True,110000,1.35,68,commercial,stable,
dry shampoo,True,135000,1.8,72,transactional,stable,
hair mask,True,90500,1.25,65,informational,stable,
beard oil,True,74000,1.1,58,commercial,stable,
beard trimmer,True,165000,1.6,76,commercial,stable,
electric shaver,True,90500,1.75,74,transactional,stable,
nose trimmer,True,49500,1.2,55,commercial,stable,
foot file,True,33100,0.9,48,commercial,stable,
callus remover,True,60500,1.1,55,commercial,stable,
bath bombs,True,110000,0.75,60,transactional,stable,
loofah,True,60500,0.4,42,commercial,stable,
shower curtain,True,246000,0.85,72,transactional,stable,
bath mat,True,165000,0.9,68,transactional,stable,
towel set,True,40500,1.2,62,commercial,stable,
hand towels,True,60500,0.95,58,commercial,stable,
toilet paper,True,201000,0.6,65,transactional,stable,
plunger,True,74000,0.7,50,commercial,stable,
toilet brush,True,49500,0.65,52,commercial,stable,
shower head,True,165000,1.8,85,commercial,stable,
bathroom scale,True,90500,0.9,72,commercial,stable,
makeup organizer,True,110000,1.2,68,commercial,rising,
jewelry box,True,135000,0.75,70,commercial,stable,
perfume,True,450000,2.5,92,commercial,stable,
cologne,True,301000,2.1,88,commercial,stable,
hand cream,True,60500,1.1,65,commercial,stable,
cuticle oil,True,49500,0.95,58,informational,rising,
acne patches,True,135000,2.2,74,transactional,rising,
retinol cream,True,90500,3.5,82,commercial,stable,
vitamin c serum,True,165000,4.2,85,commercial,stable,
hyaluronic acid,True,201000,3.8,81,informational,stable,
eye cream,True,110000,2.8,79,commercial,stable,
face mask,True,165000,1.5,75,commercial,declining,
toner,True,90500,1.6,72,commercial,stable,
cleanser,True,74000,2,78,commercial,stable,
cotton pads,True,33100,0.65,52,transactional,stable,
makeup remover,True,60500,1.8,69,commercial,stable,
false lashes,True,74000,1.2,74,commercial,stable,
tweezers,True,49500,0.85,62,transactional,stable,
scissors,True,110000,0.55,80,informational,stable,
nail clippers,True,40500,0.75,58,transactional,stable,
ear buds case,True,18100,0.8,48,commercial,stable,
airpods case,True,246000,1.1,79,transactional,stable,
apple watch band,True,301000,1.4,84,transactional,stable,
samsung charger,True,165000,1.2,78,transactional,stable,
pixel case,True,49500,0.95,55,transactional,rising,
iphone case,True,450000,2.5,92,transactional,stable,
screen protector,True,135000,1.1,70,transactional,stable,
tempered glass,True,74000,0.85,65,transactional,stable,
phone grip,True,22000,1.45,48,commercial,stable,
pop socket,True,90500,1.8,62,transactional,declining,
wallet case,True,60500,1.35,68,transactional,stable,
folio case,True,18000,0.9,42,transactional,stable,
laptop sleeve,True,49500,1.65,66,transactional,stable,
laptop backpack,True,110000,2.1,82,transactional,rising,
messenger laptop bag,True,27000,2.35,58,transactional,stable,
camera lens,True,40500,3.5,85,commercial,stable,
nd filter,True,22000,1.9,52,commercial,rising,
softbox,True,33000,1.2,55,transactional,stable,
light stand,True,14500,0.8,49,transactional,stable,
backdrop,True,60500,1.1,62,transactional,stable,
reflector,True,12000,0.75,40,informational,stable,
gaffer tape,True,27000,2.2,45,transactional,stable,
sandbag,True,18000,1.05,38,transactional,stable,
boom arm,True,33000,1.85,54,transactional,rising,
lav mic,True,22000,2.4,60,commercial,stable,
podcast mic,True,49500,3.1,72,commercial,stable,
audio interface,True,74000,3.8,75,commercial,stable,
midi controller,True,60500,2.9,68,commercial,stable,
studio monitors,True,110000,1.8,68,commercial,stable,
headphones,True,450000,1.2,92,commercial,stable,
noise cancelling headphones,True,246000,2.5,84,commercial,stable,
earbuds,True,301000,1.5,89,commercial,stable,
bone conduction headphones,True,165000,1.6,74,commercial,rising,
hearing aids,True,201000,12.5,81,transactional,stable,
white noise machine,True,135000,1.1,65,commercial,stable,
sleep mask,True,110000,0.9,62,commercial,stable,
ear plugs,True,90500,0.8,58,commercial,stable,
neck pillow,True,165000,1.2,69,commercial,stable,
compression socks,True,301000,2.2,72,transactional,stable,
ankle brace,True,74000,2.5,55,commercial,stable,
knee brace,True,201000,3.1,76,transactional,stable,
wrist brace,True,60500,2.4,58,commercial,stable,
back brace,True,110000,2.8,70,transactional,stable,
posture corrector,True,90500,1.9,64,commercial,declining,
heating pad,True,165000,1.1,60,commercial,stable,
ice pack wrap,True,27100,1.5,45,commercial,stable,
tens unit,True,135000,3.5,66,transactional,stable,
blood pressure monitor,True,246000,4.5,79,transactional,stable,
pulse oximeter,True,110000,2.1,62,informational,stable,
thermometer,True,165000,1.4,75,informational,stable,
glucose monitor,True,135000,9.5,77,transactional,rising,
nebulizer,True,165000,2.5,68,transactional,stable,
humidifier filter,True,49500,1.8,48,transactional,stable,
air filter,True,165000,1.5,75,commercial,stable,
furnace filter,True,110000,1.25,68,transactional,rising,
water softener,True,135000,4.5,82,commercial,stable,
shower filter,True,90500,1.1,62,commercial,rising,
fridge water filter,True,74000,1.8,65,transactional,stable,
coffee filter,True,60500,0.45,55,informational,stable,
tea infuser,True,49500,0.85,58,commercial,stable,
french press,True,165000,1.2,78,commercial,stable,
pour over,True,74000,1.4,72,commercial,stable,
espresso machine,True,301000,3.5,88,commercial,rising,
milk frother,True,135000,0.9,65,commercial,stable,
coffee grinder,True,110000,1.6,78,commercial,stable,
toaster oven,True,165000,1.1,74,commercial,stable,
dishwasher detergent,True,60500,2.2,64,transactional,stable,
trash can,True,110000,0.75,72,commercial,stable,
compost bin,True,90500,1.15,65,informational,rising,
recycling bins,True,40500,0.95,60,commercial,stable,
storage shelves,True,90500,2.5,75,commercial,stable,
closet organizer,True,135000,1.8,80,commercial,rising,
under bed storage,True,74000,1.4,68,transactional,rising,
drawer organizers,True,60500,1.25,66,commercial,stable,
cable management,True,110000,1.9,70,informational,stable,
surge bar,True,14800,1.1,55,transactional,stable,
battery charger,True,49500,1.3,62,commercial,stable,
aa batteries,True,165000,1.05,70,transactional,stable,
aaa batteries,True,165000,1.2,75,transactional,stable,
lithium batteries,True,90500,2.5,68,commercial,rising,
button batteries,True,49500,1.8,62,transactional,stable,
solar lights,True,246000,1.5,82,transactional,rising,
string lights,True,201000,0.9,78,transactional,stable,
fairy lights,True,110000,0.7,70,transactional,stable,
neon sign,True,301000,2.1,85,commercial,rising,
projector,True,450000,1.4,88,commercial,stable,
projector screen,True,135000,1.6,74,transactional,stable,
soundbar,True,201000,2.2,84,transactional,stable,
streaming stick,True,33100,1.1,65,informational,stable,
chromecast,True,165000,0.8,81,navigational,declining,
fire stick,True,823000,0.5,90,navigational,stable,
roku,True,1220000,0.6,92,navigational,stable,
hdmi splitter,True,90500,1.5,63,transactional,stable,
av receiver,True,74000,3.5,72,commercial,stable,
turntable,True,110000,2.8,76,commercial,rising,
record player,True,246000,1.9,80,transactional,rising,
vinyl records,True,368000,1.3,86,transactional,rising,
cd player,True,135000,1.2,67,transactional,stable,
bluetooth adapter,True,110000,1.4,64,transactional,stable,
aux cable,True,60500,0.6,58,transactional,stable,
rca cable,True,40500,1.1,55,transactional,stable,
optical cable,True,33100,0.9,52,transactional,stable,
speaker stands,True,49500,2.4,61,transactional,stable,
subwoofer,True,246000,1,72,commercial,stable,
karaoke machine,True,165000,2,65,transactional,rising,
party lights,True,60000,1,58,commercial,stable,
fog machine,True,90000,1,55,commercial,rising,
balloon pump,True,49000,1,52,transactional,stable,
party decorations,True,201000,1,70,transactional,stable,
gift wrap,True,74000,2,62,transactional,rising,
gift bags,True,90000,1,65,transactional,stable,
greeting cards,True,135000,3,75,commercial,stable,
wrapping paper,True,110000,1,68,transactional,rising,
ribbons,True,40000,1,60,commercial,stable,
tissue paper,True,60000,1,55,transactional,stable,
packing tape,True,49000,2,63,transactional,stable,
moving boxes,True,201000,2,72,transactional,stable,
bubble wrap,True,110000,1,60,transactional,stable,
shipping labels,True,74000,2,64,transactional,stable,
postage scale,True,27000,3,58,commercial,stable,
envelope opener,True,18000,1,45,transactional,stable,
letter tray,True,12000,1,48,transactional,stable,
file folders,True,49000,1,66,transactional,stable,
hanging folders,True,22000,1,54,transactional,stable,
binders,True,90000,1,68,transactional,stable,
sheet protectors,True,33000,1,50,transactional,stable,
index cards,True,74000,1,62,informational,stable,
flash cards,True,60000,1,65,informational,stable,
study guide,True,165000,1.2,75,informational,stable,
calculator,True,2740000,0.5,90,transactional,stable,
graphing calculator,True,135000,2.5,65,commercial,stable,
protractor,True,60000,0.8,35,transactional,stable,
compass set,True,22000,1.1,30,transactional,stable,
geometry set,True,18000,1.3,32,transactional,stable,
backpack kids,True,110000,2.1,58,transactional,rising,
