keyword,ok,search_volume,cpc,competition,error,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
kitchen knife,True,33100,1.94,HIGH,,33100,33100,49500,49500,49500,49500,33100,22200,27100,27100,22200,22200
cutting board,True,90500,1.41,HIGH,,74000,74000,90500,90500,110000,135000,90500,74000,74000,74000,74000,60500
cast iron skillet,True,165000,1.22,HIGH,,135000,135000,165000,165000,201000,246000,246000,201000,165000,135000,135000,110000
blender,True,450000,0.97,MEDIUM,,450000,450000,450000,450000,450000,450000,450000,368000,450000,450000,450000,368000
toaster,True,135000,0.67,HIGH,,110000,135000,135000,135000,165000,165000,135000,110000,110000,135000,110000,110000
microwave,True,368000,0.68,HIGH,,368000,368000,368000,368000,450000,450000,368000,368000,368000,368000,368000,301000
air purifier,True,301000,2.12,HIGH,,246000,301000,246000,246000,368000,301000,301000,301000,301000,246000,246000,246000
humidifier,True,301000,1.02,HIGH,,165000,165000,201000,246000,368000,550000,450000,368000,246000,201000,165000,135000
dehumidifier,True,246000,1.46,HIGH,,450000,368000,246000,201000,201000,201000,165000,135000,165000,201000,246000,301000
space heater,True,135000,0.79,HIGH,,18100,33100,49500,201000,301000,368000,450000,201000,60500,40500,27100,18100
fan,True,246000,0.7,HIGH,,368000,301000,246000,246000,201000,201000,201000,201000,301000,301000,301000,368000
extension cord,True,110000,0.81,HIGH,,110000,135000,110000,110000,135000,135000,110000,90500,110000,110000,110000,110000
power strip,True,49500,0.96,HIGH,,60500,60500,49500,49500,49500,49500,49500,40500,49500,40500,40500,49500
surge protector,True,90500,1,HIGH,,135000,135000,110000,90500,90500,110000,110000,74000,90500,90500,90500,110000
hdmi cable,True,110000,0.68,HIGH,,110000,110000,110000,110000,110000,135000,110000,90500,110000,90500,90500,110000
ethernet cable,True,201000,0.89,HIGH,,201000,246000,201000,201000,201000,201000,201000,165000,165000,165000,165000,165000
wifi router,True,135000,6.25,LOW,,74000,74000,60500,60500,60500,60500,60500,49500,74000,110000,550000,246000
mesh wifi,True,14800,2.58,HIGH,,18100,18100,18100,14800,14800,14800,14800,9900,12100,9900,9900,9900
security camera,True,165000,7.54,MEDIUM,,135000,135000,135000,135000,110000,110000,110000,110000,110000,165000,550000,301000
doorbell camera,True,110000,3.4,LOW,,49500,49500,40500,49500,49500,49500,49500,60500,60500,110000,550000,246000
smart bulb,True,12100,0.62,HIGH,,12100,12100,9900,12100,14800,14800,12100,9900,9900,8100,8100,8100
smart plug,True,22200,0.63,HIGH,,18100,18100,18100,22200,33100,40500,22200,18100,18100,14800,18100,18100
thermostat,True,135000,1.03,HIGH,,135000,135000,135000,165000,165000,165000,165000,135000,135000,110000,135000,135000
pet bed,True,8100,1.61,HIGH,,6600,8100,8100,8100,12100,12100,9900,8100,8100,8100,8100,6600
dog leash,True,40500,1.41,HIGH,,40500,49500,49500,40500,40500,40500,40500,33100,40500,40500,40500,33100
cat litter,True,90500,2.27,HIGH,,110000,110000,110000,110000,110000,110000,110000,90500,90500,90500,90500,90500
bird feeder,True,60500,0.64,HIGH,,49500,40500,33100,33100,40500,60500,49500,49500,74000,90500,135000,74000
camping tent,True,49500,0.39,HIGH,,135000,110000,60500,49500,33100,27100,27100,22200,33100,40500,49500,60500
sleeping bag,True,110000,0.59,MEDIUM,,90500,74000,74000,90500,90500,74000,90500,60500,74000,74000,90500,550000
hiking backpack,True,40500,0.68,HIGH,,49500,90500,60500,33100,33100,33100,40500,33100,40500,40500,49500,49500
fishing rod,True,135000,0.44,HIGH,,165000,165000,135000,135000,110000,110000,90500,90500,135000,165000,201000,165000
bicycle pump,True,27100,0.5,HIGH,,33100,33100,27100,27100,22200,22200,18100,14800,22200,27100,27100,33100
bike lock,True,40500,0.56,HIGH,,49500,60500,49500,33100,27100,22200,27100,22200,33100,40500,49500,49500
car phone mount,True,9900,0.9,HIGH,,14800,14800,14800,9900,12100,14800,9900,9900,8100,8100,8100,8100
dash cam,True,90500,1.15,HIGH,,90500,90500,74000,90500,110000,135000,90500,74000,74000,74000,74000,74000
tire inflator,True,33100,0.69,HIGH,,33100,27100,33100,33100,40500,49500,33100,27100,27100,22200,22200,22200
jump starter,True,90500,1.37,HIGH,,74000,90500,74000,90500,90500,110000,110000,74000,74000,74000,74000,74000
tool set,True,33100,0.7,HIGH,,27100,27100,27100,27100,49500,60500,27100,27100,27100,27100,27100,27100
drill,True,110000,0.54,HIGH,,110000,110000,110000,135000,135000,135000,135000,110000,135000,110000,110000,110000
screwdriver set,True,18100,0.73,HIGH,,14800,18100,14800,14800,27100,27100,18100,14800,14800,14800,14800,14800
measuring tape,True,110000,0.72,HIGH,,90500,110000,110000,110000,90500,90500,90500,90500,110000,110000,110000,90500
paint roller,True,22200,0.65,HIGH,,27100,27100,22200,22200,22200,18100,22200,18100,22200,22200,22200,22200
garden hose,True,60500,0.79,HIGH,,90500,60500,49500,40500,33100,22200,27100,33100,60500,74000,90500,90500
lawn mower,True,301000,0.97,HIGH,,450000,368000,246000,201000,135000,110000,135000,165000,368000,550000,550000,450000
plant pot,True,33100,0.65,HIGH,,33100,40500,33100,33100,33100,27100,33100,27100,40500,49500,49500,33100
fertilizer,True,74000,0.72,HIGH,,60500,60500,74000,60500,49500,40500,49500,60500,135000,135000,110000,90500
sunscreen,True,110000,1.12,HIGH,,165000,110000,74000,60500,60500,60500,74000,74000,135000,135000,201000,201000
moisturizer,True,74000,1.24,HIGH,,74000,90500,74000,74000,90500,90500,90500,74000,74000,74000,74000,74000
face wash,True,49500,1.21,HIGH,,49500,49500,49500,49500,60500,60500,49500,49500,49500,49500,49500,49500
body lotion,True,27100,1.31,HIGH,,27100,27100,27100,22200,33100,40500,22200,22200,22200,22200,22200,22200
deodorant,True,201000,2.8,HIGH,,201000,246000,201000,201000,165000,165000,165000,165000,201000,201000,201000,165000
razor,True,165000,2.22,HIGH,,165000,201000,165000,165000,165000,201000,165000,135000,165000,165000,165000,165000
nail clipper,True,49500,1.31,HIGH,,49500,49500,49500,49500,49500,60500,49500,40500,40500,40500,40500,40500
toothbrush,True,74000,1.99,HIGH,,60500,74000,90500,90500,90500,90500,90500,74000,90500,90500,90500,60500
toothpaste,True,90500,1.31,HIGH,,90500,110000,90500,110000,90500,90500,110000,90500,110000,110000,110000,90500
floss,True,49500,1.53,HIGH,,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,40500
vitamins,True,201000,5.52,HIGH,,110000,301000,165000,201000,201000,368000,301000,135000,368000,201000,246000,110000
protein bar,True,201000,0.98,HIGH,,246000,301000,246000,201000,165000,135000,201000,201000,201000,165000,165000,165000
granola,True,110000,3.47,HIGH,,110000,110000,110000,110000,90500,90500,135000,135000,135000,135000,135000,135000
olive oil,True,135000,1.69,HIGH,,135000,135000,135000,135000,135000,135000,165000,135000,165000,135000,135000,110000
rice cooker,True,201000,0.64,HIGH,,201000,201000,201000,165000,246000,246000,246000,165000,165000,165000,165000,165000
slow cooker,True,90500,0.53,HIGH,,49500,74000,74000,90500,110000,135000,135000,74000,74000,60500,49500,60500
waffle maker,True,74000,0.45,HIGH,,60500,74000,60500,74000,110000,110000,90500,74000,74000,60500,60500,60500
ice cream maker,True,135000,0.55,HIGH,,301000,201000,135000,135000,201000,165000,135000,90500,90500,90500,135000,165000
juicer,True,110000,1.12,HIGH,,90500,110000,90500,110000,135000,165000,135000,110000,110000,90500,90500,74000
food processor,True,135000,0.74,HIGH,,110000,110000,110000,135000,201000,201000,135000,110000,110000,110000,110000,90500
hand mixer,True,60500,0.55,HIGH,,40500,40500,49500,60500,110000,110000,49500,40500,40500,40500,40500,33100
