keyword,returned,ok,search_volume,cpc,competition,error,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
tire inflator,True,True,33100,0.69,HIGH,,33100,27100,33100,33100,40500,49500,33100,27100,27100,22200,22200,22200
jump starter,True,True,90500,1.37,HIGH,,74000,90500,74000,90500,90500,110000,110000,74000,74000,74000,74000,74000
tool set,True,True,33100,0.7,HIGH,,27100,27100,27100,27100,49500,60500,27100,27100,27100,27100,27100,27100
drill,True,True,110000,0.54,HIGH,,110000,110000,110000,135000,135000,135000,135000,110000,135000,110000,110000,110000
screwdriver set,True,True,18100,0.73,HIGH,,14800,18100,14800,14800,27100,27100,18100,14800,14800,14800,14800,14800
measuring tape,True,True,110000,0.72,HIGH,,90500,110000,110000,110000,90500,90500,90500,90500,110000,110000,110000,90500
paint roller,True,True,22200,0.65,HIGH,,27100,27100,22200,22200,22200,18100,22200,18100,22200,22200,22200,22200
garden hose,True,True,60500,0.79,HIGH,,90500,60500,49500,40500,33100,22200,27100,33100,60500,74000,90500,90500
lawn mower,True,True,301000,0.97,HIGH,,450000,368000,246000,201000,135000,110000,135000,165000,368000,550000,550000,450000
plant pot,True,True,33100,0.65,HIGH,,33100,40500,33100,33100,33100,27100,33100,27100,40500,49500,49500,33100
fertilizer,True,True,74000,0.72,HIGH,,60500,60500,74000,60500,49500,40500,49500,60500,135000,135000,110000,90500
sunscreen,True,True,110000,1.12,HIGH,,165000,110000,74000,60500,60500,60500,74000,74000,135000,135000,201000,201000
moisturizer,True,True,74000,1.24,HIGH,,74000,90500,74000,74000,90500,90500,90500,74000,74000,74000,74000,74000
face wash,True,True,49500,1.21,HIGH,,49500,49500,49500,49500,60500,60500,49500,49500,49500,49500,49500,49500
body lotion,True,True,27100,1.31,HIGH,,27100,27100,27100,22200,33100,40500,22200,22200,22200,22200,22200,22200
deodorant,True,True,201000,2.8,HIGH,,201000,246000,201000,201000,165000,165000,165000,165000,201000,201000,201000,165000
razor,True,True,165000,2.22,HIGH,,165000,201000,165000,165000,165000,201000,165000,135000,165000,165000,165000,165000
nail clipper,True,True,49500,1.31,HIGH,,49500,49500,49500,49500,49500,60500,49500,40500,40500,40500,40500,40500
toothbrush,True,True,74000,1.99,HIGH,,60500,74000,90500,90500,90500,90500,90500,74000,90500,90500,90500,60500
toothpaste,True,True,90500,1.31,HIGH,,90500,110000,90500,110000,90500,90500,110000,90500,110000,110000,110000,90500
floss,True,True,49500,1.53,HIGH,,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,40500
vitamins,True,True,201000,5.52,HIGH,,110000,301000,165000,201000,201000,368000,301000,135000,368000,201000,246000,110000
protein bar,True,True,201000,0.98,HIGH,,246000,301000,246000,201000,165000,135000,201000,201000,201000,165000,165000,165000
granola,True,True,110000,3.47,HIGH,,110000,110000,110000,110000,90500,90500,135000,135000,135000,135000,135000,135000
olive oil,True,True,135000,1.69,HIGH,,135000,135000,135000,135000,135000,135000,165000,135000,165000,135000,135000,110000
rice cooker,True,True,201000,0.64,HIGH,,201000,201000,201000,165000,246000,246000,246000,165000,165000,165000,165000,165000
slow cooker,True,True,90500,0.53,HIGH,,49500,74000,74000,90500,110000,135000,135000,74000,74000,60500,49500,60500
waffle maker,True,True,74000,0.45,HIGH,,60500,74000,60500,74000,110000,110000,90500,74000,74000,60500,60500,60500
ice cream maker,True,True,135000,0.55,HIGH,,301000,201000,135000,135000,201000,165000,135000,90500,90500,90500,135000,165000
juicer,True,True,110000,1.12,HIGH,,90500,110000,90500,110000,135000,165000,135000,110000,110000,90500,90500,74000
food processor,True,True,135000,0.74,HIGH,,110000,110000,110000,135000,201000,201000,135000,110000,110000,110000,110000,90500
hand mixer,True,True,60500,0.55,HIGH,,40500,40500,49500,60500,110000,110000,49500,40500,40500,40500,40500,33100
phone charger,True,True,40500,0.93,HIGH,,40500,40500,40500,40500,40500,49500,49500,33100,33100,33100,33100,33100
usb cable,True,True,27100,0.84,HIGH,,27100,27100,27100,27100,27100,27100,27100,22200,22200,22200,22200,27100
laptop stand,True,True,40500,1.33,HIGH,,49500,49500,40500,40500,40500,49500,49500,40500,40500,40500,40500,40500
microphone,True,True,165000,0.58,HIGH,,135000,165000,201000,201000,201000,201000,201000,201000,165000,165000,165000,135000
headset,True,True,49500,1.74,HIGH,,49500,49500,49500,49500,60500,74000,49500,40500,40500,40500,40500,40500
keyboard,True,True,450000,0.52,HIGH,,368000,450000,450000,450000,450000,550000,450000,450000,450000,368000,368000,368000
mouse,True,True,301000,0.84,MEDIUM,,201000,246000,301000,301000,301000,301000,301000,301000,301000,301000,301000,201000
mouse pad,True,True,90500,1.19,HIGH,,74000,90500,74000,74000,110000,135000,90500,74000,74000,74000,74000,74000
desk organizer,True,True,40500,0.84,HIGH,,49500,60500,49500,40500,49500,49500,49500,33100,33100,27100,27100,27100
monitor arm,True,True,22200,1.38,HIGH,,22200,22200,18100,18100,27100,27100,27100,22200,22200,22200,22200,22200
ssd drive,True,True,27100,0.74,HIGH,,22200,22200,22200,27100,27100,33100,33100,27100,27100,27100,27100,33100
hard drive,True,True,74000,0.81,HIGH,,60500,74000,90500,74000,60500,74000,74000,74000,74000,74000,74000,60500
flash drive,True,True,49500,0.57,HIGH,,49500,60500,60500,49500,49500,49500,60500,60500,49500,49500,49500,49500
memory card,True,True,18100,0.55,HIGH,,14800,18100,18100,14800,14800,22200,18100,27100,18100,18100,22200,18100
router,True,True,110000,2.06,HIGH,,110000,110000,110000,110000,165000,110000,110000,110000,110000,110000,110000,90500
printer,True,True,246000,1.53,HIGH,,201000,246000,246000,246000,246000,246000,301000,246000,246000,246000,201000,201000
ink cartridge,True,True,14800,4.08,HIGH,,12100,14800,14800,14800,12100,12100,14800,14800,14800,14800,14800,12100
paper towels,True,True,74000,1.75,HIGH,,74000,90500,74000,74000,74000,74000,74000,60500,74000,74000,74000,74000
trash bags,True,True,40500,1.45,HIGH,,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100
laundry detergent,True,True,110000,1.49,HIGH,,135000,135000,135000,135000,110000,110000,135000,110000,110000,110000,110000,90500
fabric softener,True,True,33100,1.14,HIGH,,33100,40500,33100,40500,40500,33100,40500,33100,40500,33100,33100,33100
dishwasher pods,True,True,22200,1.18,HIGH,,22200,22200,22200,22200,22200,22200,22200,18100,22200,22200,22200,22200
hand soap,True,True,33100,2.15,HIGH,,33100,40500,40500,33100,40500,40500,33100,27100,33100,33100,33100,33100
body wash,True,True,74000,1.33,HIGH,,74000,74000,60500,74000,90500,90500,60500,60500,60500,60500,60500,60500
lip balm,True,True,60500,1.08,HIGH,,49500,49500,49500,60500,90500,90500,74000,60500,49500,49500,40500,40500
shaving cream,True,True,40500,1.17,HIGH,,49500,40500,40500,40500,49500,40500,40500,33100,40500,40500,40500,40500
cotton swabs,True,True,22200,0.74,HIGH,,22200,22200,22200,22200,18100,22200,22200,18100,22200,18100,18100,18100
band aids,True,True,90500,0.61,HIGH,,90500,90500,90500,90500,90500,110000,90500,74000,90500,90500,90500,74000
first aid kit,True,True,90500,2.85,HIGH,,90500,90500,90500,110000,90500,74000,90500,74000,90500,90500,90500,60500
vitamins d,True,True,368000,1.45,HIGH,,301000,301000,301000,368000,368000,368000,368000,368000,368000,368000,368000,301000
fish oil,True,True,74000,1.38,HIGH,,110000,74000,74000,74000,74000,74000,74000,74000,74000,74000,90500,90500
collagen,True,True,246000,3.13,HIGH,,246000,246000,246000,246000,201000,201000,246000,246000,301000,246000,246000,201000
creatine,True,True,673000,2.59,HIGH,,673000,673000,673000,550000,550000,550000,823000,673000,823000,673000,673000,673000
pre workout,True,True,110000,1.74,HIGH,,110000,90500,90500,90500,90500,90500,135000,110000,110000,110000,90500,90500
protein shake,True,True,301000,2.47,HIGH,,301000,301000,246000,301000,201000,201000,301000,301000,301000,301000,246000,301000
meal prep containers,True,True,74000,0.6,HIGH,,60500,74000,74000,60500,60500,74000,165000,49500,74000,60500,49500,40500
water filter,True,True,110000,3.5,HIGH,,110000,110000,110000,110000,110000,110000,110000,90500,110000,110000,110000,90500
coffee beans,True,True,201000,1.09,HIGH,,201000,201000,201000,201000,201000,246000,201000,165000,201000,165000,165000,165000
tea bags,True,True,27100,0.63,HIGH,,27100,27100,33100,33100,33100,33100,33100,22200,27100,22200,18100,18100
matcha,True,True,823000,1.04,HIGH,,823000,823000,823000,673000,673000,673000,673000,673000,823000,823000,823000,823000
protein cookies,True,True,22200,0.65,HIGH,,27100,27100,22200,22200,18100,18100,27100,22200,27100,22200,22200,22200
energy drinks,True,True,246000,3.81,HIGH,,201000,201000,246000,201000,201000,301000,246000,201000,201000,246000,201000,201000
soda stream,True,True,110000,2.4,HIGH,,110000,90500,74000,90500,135000,135000,110000,90500,90500,90500,90500,90500
blender bottle,True,True,33100,1.08,HIGH,,33100,33100,27100,27100,33100,33100,40500,33100,33100,27100,27100,27100
lunch box,True,True,201000,0.47,HIGH,,301000,368000,201000,165000,201000,201000,165000,165000,165000,165000,165000,165000
thermos,True,True,74000,0.48,HIGH,,60500,74000,74000,90500,90500,90500,74000,60500,60500,60500,90500,49500
travel mug,True,True,12100,1.08,HIGH,,8100,12100,9900,12100,22200,27100,9900,8100,8100,8100,8100,6600
wine glasses,True,True,60500,1.25,HIGH,,49500,60500,60500,60500,90500,110000,60500,60500,49500,49500,49500,40500
baking sheet,True,True,40500,1.04,HIGH,,40500,40500,49500,49500,60500,60500,49500,40500,33100,33100,33100,33100
mixing bowls,True,True,18100,0.8,HIGH,,14800,14800,18100,18100,33100,33100,18100,14800,14800,14800,14800,12100
storage bins,True,True,74000,0.92,HIGH,,74000,74000,60500,74000,74000,74000,90500,60500,74000,74000,74000,74000
vacuum bags,True,True,12100,0.79,HIGH,,14800,14800,12100,12100,12100,14800,14800,9900,12100,14800,14800,14800
hangers,True,True,74000,0.97,HIGH,,74000,90500,74000,74000,74000,74000,74000,60500,90500,74000,74000,60500
shoe rack,True,True,165000,0.85,HIGH,,165000,201000,165000,165000,165000,165000,165000,135000,165000,135000,135000,135000
laundry basket,True,True,90500,0.74,HIGH,,90500,110000,90500,90500,90500,90500,110000,90500,90500,90500,90500,90500
ironing board,True,True,49500,0.44,HIGH,,60500,74000,60500,60500,60500,49500,49500,40500,49500,49500,49500,49500
steam iron,True,True,27100,0.65,HIGH,,33100,33100,33100,33100,27100,33100,22200,22200,22200,22200,22200,22200
tower fan,True,True,33100,0.57,HIGH,,74000,49500,33100,27100,18100,14800,14800,18100,40500,40500,40500,60500
ceiling fan,True,True,201000,1.38,HIGH,,246000,246000,201000,201000,165000,135000,165000,165000,201000,201000,201000,246000
light bulbs,True,True,135000,1.59,HIGH,,90500,135000,165000,165000,165000,165000,165000,135000,165000,135000,135000,90500
smoke detector,True,True,90500,1.25,HIGH,,90500,90500,90500,110000,90500,90500,110000,90500,90500,90500,74000,74000
carbon monoxide detector,True,True,246000,2.05,HIGH,,246000,201000,201000,246000,301000,301000,368000,301000,301000,201000,201000,201000
fire extinguisher,True,True,165000,2.76,HIGH,,135000,201000,165000,165000,135000,135000,165000,135000,165000,135000,135000,135000
tape measure,True,True,110000,0.72,HIGH,,90500,110000,110000,110000,90500,90500,90500,90500,110000,110000,110000,90500
level tool,True,True,14800,0.6,HIGH,,14800,18100,14800,14800,14800,14800,14800,12100,14800,14800,14800,14800
paint brushes,True,True,74000,0.5,HIGH,,49500,90500,90500,90500,74000,60500,74000,74000,74000,74000,74000,49500
wallpaper,True,True,1220000,1.62,HIGH,,1000000,1500000,1500000,1220000,1220000,1220000,1500000,1220000,1220000,1220000,1000000,823000
curtain rods,True,True,135000,1.1,HIGH,,135000,165000,135000,135000,165000,135000,135000,110000,135000,110000,110000,135000
blackout curtains,True,True,135000,1.62,HIGH,,201000,201000,135000,135000,165000,135000,135000,110000,135000,135000,165000,165000
throw pillows,True,True,60500,1.12,HIGH,,74000,74000,74000,60500,74000,60500,60500,49500,60500,49500,60500,60500
blanket,True,True,201000,1.75,HIGH,,110000,135000,165000,201000,301000,301000,201000,165000,165000,165000,165000,135000
bed sheets,True,True,110000,2.34,HIGH,,110000,110000,110000,110000,135000,110000,110000,90500,90500,90500,90500,90500
pillow cases,True,True,14800,1.74,HIGH,,18100,18100,14800,18100,18100,18100,18100,14800,14800,14800,14800,14800
alarm clock,True,True,301000,1.16,MEDIUM,,246000,301000,368000,368000,301000,301000,301000,301000,301000,301000,301000,246000
night light,True,True,40500,0.52,HIGH,,40500,40500,40500,40500,49500,49500,49500,40500,40500,40500,40500,40500
book light,True,True,22200,0.49,HIGH,,14800,14800,14800,18100,33100,40500,27100,22200,18100,18100,18100,14800
kindle case,True,True,33100,1.29,HIGH,,27100,22200,22200,22200,40500,74000,49500,27100,27100,22200,27100,33100
ipad case,True,True,110000,0.73,HIGH,,90500,90500,90500,90500,135000,201000,110000,90500,90500,74000,74000,74000
phone holder,True,True,22200,0.88,HIGH,,22200,22200,27100,22200,27100,33100,22200,22200,22200,22200,22200,22200
car mount,True,True,8100,0.93,HIGH,,6600,6600,5400,6600,9900,18100,9900,6600,8100,8100,6600,6600
car vacuum,True,True,40500,0.72,HIGH,,49500,40500,40500,40500,49500,60500,33100,33100,49500,40500,40500,40500
car phone charger,True,True,4400,0.62,HIGH,,5400,5400,4400,4400,4400,4400,4400,3600,4400,4400,4400,4400
bike lights,True,True,22200,0.74,HIGH,,22200,27100,27100,27100,27100,22200,14800,12100,18100,22200,22200,18100
helmet,True,True,135000,0.78,HIGH,,135000,135000,135000,135000,135000,135000,135000,110000,135000,201000,135000,135000
yoga block,True,True,22200,0.82,HIGH,,18100,18100,18100,18100,22200,27100,27100,22200,22200,22200,22200,22200
resistance bands,True,True,74000,0.94,HIGH,,74000,74000,60500,60500,60500,74000,74000,74000,74000,74000,74000,74000
dumbbells,True,True,201000,1.11,HIGH,,201000,201000,201000,201000,201000,201000,301000,201000,201000,201000,201000,201000
kettlebell,True,True,110000,0.96,HIGH,,90500,90500,90500,90500,110000,135000,165000,110000,110000,110000,110000,110000
jump rope,True,True,246000,1.05,MEDIUM,,74000,90500,301000,368000,301000,301000,301000,246000,301000,246000,301000,246000
foam roller,True,True,49500,0.65,HIGH,,49500,49500,49500,49500,49500,60500,49500,49500,60500,60500,49500,49500
massage gun,True,True,135000,1.87,HIGH,,110000,110000,110000,110000,201000,301000,110000,110000,110000,110000,90500,90500
running belt,True,True,22200,1.29,HIGH,,22200,22200,27100,18100,22200,18100,14800,14800,22200,27100,22200,22200
gym bag,True,True,60500,1.39,HIGH,,60500,60500,49500,49500,90500,135000,90500,60500,60500,49500,49500,49500
camping stove,True,True,40500,0.48,HIGH,,49500,49500,33100,33100,33100,33100,74000,27100,40500,40500,49500,49500
flashlight,True,True,368000,1.94,HIGH,,368000,368000,368000,450000,450000,450000,450000,301000,368000,368000,368000,301000
headlamp,True,True,33100,1.07,HIGH,,22200,22200,27100,33100,74000,49500,27100,22200,22200,22200,22200,22200
pocket knife,True,False,,,,null search_volume,,,,,,,,,,,,
multi tool,True,True,60500,0.73,HIGH,,49500,60500,49500,74000,74000,90500,60500,49500,49500,40500,49500,49500
suitcase,True,True,165000,1.68,HIGH,,165000,135000,135000,135000,165000,165000,165000,135000,201000,165000,201000,165000
travel adapter,True,True,9900,0.65,HIGH,,12100,14800,9900,8100,8100,9900,9900,6600,9900,8100,9900,6600
packing cubes,True,True,49500,1.27,HIGH,,74000,60500,40500,40500,49500,60500,40500,33100,49500,49500,49500,60500
passport holder,True,True,27100,1.12,HIGH,,27100,22200,22200,18100,27100,40500,27100,27100,27100,27100,27100,27100
wallet,True,True,368000,1.53,HIGH,,301000,368000,368000,368000,450000,450000,368000,301000,368000,368000,368000,368000
crossbody bag,True,True,110000,1.2,HIGH,,110000,135000,110000,90500,110000,135000,90500,74000,90500,90500,90500,90500
tote bag,True,True,301000,1.19,HIGH,,368000,450000,301000,301000,368000,368000,301000,246000,301000,301000,301000,301000
messenger bag,True,True,60500,0.95,HIGH,,74000,90500,60500,49500,60500,60500,60500,49500,60500,90500,60500,49500
sunglasses,True,True,301000,2.13,HIGH,,368000,368000,368000,246000,301000,246000,201000,246000,368000,368000,450000,368000
reading glasses,True,True,49500,2.85,HIGH,,49500,60500,60500,60500,60500,49500,60500,49500,49500,49500,40500,40500
watch band,True,True,22200,1.52,HIGH,,22200,22200,22200,22200,22200,27100,22200,18100,22200,22200,22200,22200
necklace,True,True,201000,1.4,HIGH,,165000,165000,165000,201000,246000,301000,165000,165000,165000,201000,201000,165000
bracelet,True,True,201000,1.58,HIGH,,201000,201000,201000,201000,246000,301000,165000,165000,165000,201000,201000,201000
earrings,True,True,201000,1.71,HIGH,,165000,165000,165000,201000,301000,301000,201000,201000,246000,246000,246000,246000
ring box,True,True,14800,0.93,HIGH,,14800,14800,14800,14800,18100,22200,14800,14800,18100,14800,14800,14800
jewelry organizer,True,True,22200,0.79,HIGH,,22200,27100,18100,18100,33100,40500,27100,14800,18100,18100,18100,18100
dog collar,True,True,90500,2.1,HIGH,,90500,90500,90500,90500,90500,90500,90500,74000,90500,74000,74000,74000
aquarium filter,True,True,27100,0.8,HIGH,,33100,33100,33100,33100,27100,27100,33100,27100,27100,22200,18100,18100
plant pots,True,True,33100,0.65,HIGH,,33100,40500,33100,33100,33100,27100,33100,27100,40500,49500,49500,33100
leaf blower,True,True,110000,0.97,HIGH,,74000,90500,90500,135000,246000,110000,74000,60500,110000,110000,90500,90500
pressure washer,True,True,301000,1.49,HIGH,,450000,368000,368000,301000,246000,201000,201000,301000,368000,368000,368000,368000
patio furniture,True,True,201000,1.93,HIGH,,246000,246000,201000,165000,135000,90500,110000,165000,301000,301000,368000,246000
grill cover,True,True,18100,1.04,HIGH,,27100,18100,18100,14800,18100,14800,9900,9900,18100,22200,27100,27100
coolers,True,True,60500,1.23,HIGH,,90500,74000,60500,49500,49500,40500,40500,40500,60500,60500,74000,74000
ice packs,True,True,40500,1.64,HIGH,,49500,49500,40500,40500,33100,33100,33100,33100,40500,40500,49500,49500
beach towel,True,True,49500,1.22,HIGH,,90500,60500,27100,18100,27100,27100,27100,33100,74000,60500,90500,110000
swim goggles,True,True,40500,0.86,HIGH,,74000,49500,33100,27100,27100,27100,27100,27100,40500,40500,40500,74000
snorkel set,True,True,2400,0.87,HIGH,,4400,2900,1900,1900,2400,2400,1900,1900,2400,2400,2900,3600
tackle box,True,True,49500,0.55,HIGH,,60500,49500,40500,33100,40500,49500,33100,33100,40500,49500,60500,60500
binoculars,True,True,135000,1.65,HIGH,,110000,135000,135000,135000,165000,135000,110000,110000,110000,135000,135000,110000
telescope,True,True,135000,0.99,HIGH,,90500,135000,165000,165000,201000,201000,135000,135000,165000,165000,135000,110000
microscope kit,True,True,390,2.44,HIGH,,390,320,390,390,480,720,260,260,260,320,260,210
lego set,True,True,368000,0.37,HIGH,,201000,246000,201000,201000,550000,1000000,450000,246000,246000,201000,201000,201000
board games,True,True,246000,0.4,HIGH,,201000,246000,246000,246000,368000,368000,301000,201000,246000,246000,301000,201000
puzzles,True,True,368000,1.22,MEDIUM,,246000,301000,368000,450000,450000,550000,450000,368000,368000,368000,368000,246000
playdough,True,True,27100,0.38,HIGH,,22200,40500,40500,33100,33100,33100,27100,27100,27100,22200,22200,18100
crayons,True,True,90500,0.35,HIGH,,90500,135000,110000,110000,90500,90500,90500,90500,110000,90500,90500,74000
markers,True,True,74000,0.4,HIGH,,60500,90500,74000,90500,90500,90500,74000,74000,74000,74000,74000,60500
